customer_id,document_type,document_number,issue_date,expiry_date,verification_status,verified_by,verification_date,uploaded_at,document_expired,uploaded_via,rejection_reason,document_path
751,Voter ID,VID132618565541,2012-05-12,2022-05-12,Verified,29.0,2012-05-16,2012-05-19,1,Mobile App,,documents/kyc/CUST_751/Voter_ID/751_860100.pdf
540,Voter ID,VID714792439014,2010-08-21,2020-08-21,Verified,59.0,2010-08-26,2010-09-06,1,Mobile App,,documents/kyc/CUST_540/Voter_ID/540_641334.pdf
488,PAN,EWSVY6831Z,2013-09-09,,Verified,87.0,2013-09-23,2013-09-30,0,Mobile App,,documents/kyc/CUST_488/PAN/488_434105.pdf
602,Aadhaar,121333045991,2018-11-11,,Verified,61.0,2018-12-06,2018-12-08,0,Mobile App,,documents/kyc/CUST_602/Aadhaar/602_347089.pdf
880,Driving License,DL462187912302,2026-06-15,2036-06-15,Verified,67.0,2026-06-23,2026-06-15,0,Mobile App,,documents/kyc/CUST_880/Driving_License/880_824219.pdf
646,Driving License,DL673897440966,2011-04-05,2021-04-05,Verified,57.0,2011-04-19,2011-05-05,1,Mobile App,,documents/kyc/CUST_646/Driving_License/646_667348.pdf
324,Aadhaar,573819431354,2026-04-30,,Pending,,,2026-05-28,0,Mobile App,,documents/kyc/CUST_324/Aadhaar/324_733795.pdf
14,Driving License,DL144298757107,2021-01-02,2026-01-02,Pending,,,2021-01-13,1,Internet Banking,,documents/kyc/CUST_14/Driving_License/14_680535.pdf
129,Voter ID,VID198859192001,2021-08-05,2031-08-05,Verified,90.0,2021-08-16,2021-08-07,0,Internet Banking,,documents/kyc/CUST_129/Voter_ID/129_878691.pdf
1000,PAN,GZJHS7857U,2022-02-26,,Verified,4.0,2022-03-08,2022-03-20,0,Internet Banking,,documents/kyc/CUST_1000/PAN/1000_928446.pdf
602,PAN,TGGEF8614G,2024-12-03,,Verified,88.0,2024-12-10,2024-12-04,0,Mobile App,,documents/kyc/CUST_602/PAN/602_324072.pdf
370,PAN,WDTIU6945P,2010-12-17,,Verified,77.0,2010-12-18,2011-01-01,0,Branch,,documents/kyc/CUST_370/PAN/370_988986.pdf
725,Driving License,DL407856406477,2022-05-09,2027-05-09,Verified,24.0,2022-06-05,2022-05-09,0,Internet Banking,,documents/kyc/CUST_725/Driving_License/725_207978.pdf
790,Aadhaar,752733999306,2025-04-12,,Verified,76.0,2025-05-12,2025-04-18,0,Mobile App,,documents/kyc/CUST_790/Aadhaar/790_147546.pdf
150,Aadhaar,114365745465,2012-12-04,,Verified,51.0,2012-12-07,2012-12-06,0,Mobile App,,documents/kyc/CUST_150/Aadhaar/150_379789.pdf
433,PAN,SDOPI7162B,2011-02-02,,Verified,97.0,2011-03-01,2011-03-01,0,Mobile App,,documents/kyc/CUST_433/PAN/433_633604.pdf
108,PAN,NHHCS1833M,2013-04-05,,Verified,4.0,2013-05-02,2013-04-05,0,Branch,,documents/kyc/CUST_108/PAN/108_368822.pdf
450,PAN,CVHUC3287W,2022-07-15,,Verified,5.0,2022-07-24,2022-07-24,0,Branch,,documents/kyc/CUST_450/PAN/450_195481.pdf
112,Voter ID,VID732082847639,2013-06-03,2023-06-03,Verified,11.0,2013-06-13,2013-07-02,1,Branch,,documents/kyc/CUST_112/Voter_ID/112_318007.pdf
756,Aadhaar,442201432309,2023-11-09,,Verified,60.0,2023-12-07,2023-11-21,0,Mobile App,,documents/kyc/CUST_756/Aadhaar/756_301144.pdf
588,Passport,H7344241,2010-11-19,2015-11-19,Verified,16.0,2010-11-23,2010-12-09,1,Branch,,documents/kyc/CUST_588/Passport/588_407608.pdf
75,Aadhaar,149939107404,2023-06-01,,Rejected,13.0,2023-06-09,2023-06-07,0,Internet Banking,Document expired,documents/kyc/CUST_75/Aadhaar/75_723531.pdf
345,PAN,LEUWR9151M,2014-09-24,,Verified,13.0,2014-10-19,2014-09-29,0,Branch,,documents/kyc/CUST_345/PAN/345_424298.pdf
527,Aadhaar,752509300538,2014-11-18,,Failed,84.0,2014-11-21,2014-12-05,0,Mobile App,Document image unclear,documents/kyc/CUST_527/Aadhaar/527_598533.pdf
355,Passport,B9264423,2024-06-18,2034-06-18,Verified,74.0,2024-07-11,2024-06-26,0,Branch,,documents/kyc/CUST_355/Passport/355_979930.pdf
167,Voter ID,VID165532995572,2025-03-02,2035-03-02,Verified,43.0,2025-03-30,2025-03-13,0,Mobile App,,documents/kyc/CUST_167/Voter_ID/167_798514.pdf
396,Driving License,DL174238678792,2016-12-30,2036-12-30,Verified,38.0,2017-01-25,2017-01-22,0,Mobile App,,documents/kyc/CUST_396/Driving_License/396_474944.pdf
590,Voter ID,VID456928930478,2017-05-16,2027-05-16,Verified,64.0,2017-05-21,2017-06-07,0,Branch,,documents/kyc/CUST_590/Voter_ID/590_682929.pdf
278,Driving License,DL972808740527,2026-08-14,2036-08-14,Verified,13.0,2026-08-15,2026-08-15,0,Branch,,documents/kyc/CUST_278/Driving_License/278_241113.pdf
865,Driving License,DL953621070592,2017-07-07,2027-07-07,Verified,98.0,2017-07-08,2017-07-11,0,Mobile App,,documents/kyc/CUST_865/Driving_License/865_607179.pdf
558,Voter ID,VID188511894975,2022-10-14,2027-10-14,Verified,85.0,2022-11-07,2022-10-27,0,Mobile App,,documents/kyc/CUST_558/Voter_ID/558_408692.pdf
634,Driving License,DL107417722499,2016-02-12,2026-02-12,Verified,86.0,2016-02-28,2016-02-13,1,Mobile App,,documents/kyc/CUST_634/Driving_License/634_777405.pdf
795,Driving License,DL817839630412,2010-05-11,2030-05-11,Verified,43.0,2010-06-06,2010-05-18,0,Mobile App,,documents/kyc/CUST_795/Driving_License/795_480873.pdf
776,Aadhaar,961596546691,2012-08-13,,Verified,24.0,2012-08-16,2012-08-16,0,Branch,,documents/kyc/CUST_776/Aadhaar/776_421129.pdf
22,Driving License,DL277437278458,2010-11-20,2020-11-20,Pending,,,2010-12-04,1,Internet Banking,,documents/kyc/CUST_22/Driving_License/22_349959.pdf
93,Aadhaar,787251755578,2024-09-02,,Verified,45.0,2024-09-09,2024-09-16,0,Internet Banking,,documents/kyc/CUST_93/Aadhaar/93_175940.pdf
881,Aadhaar,892475592410,2012-07-07,,Verified,94.0,2012-08-03,2012-07-23,0,Mobile App,,documents/kyc/CUST_881/Aadhaar/881_923351.pdf
92,Driving License,DL780490346728,2025-05-23,2045-05-23,Verified,98.0,2025-05-31,2025-05-27,0,Mobile App,,documents/kyc/CUST_92/Driving_License/92_552800.pdf
188,Aadhaar,606779334673,2026-06-23,,Verified,68.0,2026-06-29,2026-07-13,0,Branch,,documents/kyc/CUST_188/Aadhaar/188_772977.pdf
106,Voter ID,VID260266058010,2012-12-31,2022-12-31,Verified,88.0,2013-01-29,2013-01-04,1,Internet Banking,,documents/kyc/CUST_106/Voter_ID/106_431396.pdf
103,Voter ID,VID427221428165,2020-07-23,2025-07-23,Failed,84.0,2020-08-15,2020-08-09,1,Mobile App,Document image unclear,documents/kyc/CUST_103/Voter_ID/103_555679.pdf
320,PAN,NQIOL7798R,2015-07-02,,Verified,27.0,2015-07-26,2015-07-17,0,Mobile App,,documents/kyc/CUST_320/PAN/320_803732.pdf
465,Passport,S2323221,2010-10-01,2015-10-01,Verified,78.0,2010-10-18,2010-10-01,1,Mobile App,,documents/kyc/CUST_465/Passport/465_638269.pdf
199,Driving License,DL942680024782,2022-12-08,2032-12-08,Rejected,3.0,2023-01-02,2022-12-12,0,Branch,Verification failed,documents/kyc/CUST_199/Driving_License/199_955875.pdf
697,Voter ID,VID222184133841,2013-12-15,2018-12-15,Pending,,,2014-01-08,1,Mobile App,,documents/kyc/CUST_697/Voter_ID/697_797185.pdf
692,Driving License,DL894851538671,2025-08-25,2035-08-25,Verified,14.0,2025-09-10,2025-09-03,0,Mobile App,,documents/kyc/CUST_692/Driving_License/692_944338.pdf
369,PAN,LIEJJ3670B,2016-01-05,,Verified,38.0,2016-02-04,2016-01-08,0,Mobile App,,documents/kyc/CUST_369/PAN/369_447260.pdf
830,Aadhaar,354774437438,2022-01-24,,Verified,30.0,2022-02-22,2022-02-09,0,Mobile App,,documents/kyc/CUST_830/Aadhaar/830_471469.pdf
763,Passport,P6904394,2025-09-10,2035-09-10,Verified,6.0,2025-10-06,2025-10-05,0,Mobile App,,documents/kyc/CUST_763/Passport/763_141678.pdf
677,Aadhaar,790601024916,2024-05-26,,Verified,74.0,2024-06-20,2024-06-09,0,Mobile App,,documents/kyc/CUST_677/Aadhaar/677_640419.pdf
882,Passport,J9157233,2024-08-20,2034-08-20,Verified,61.0,2024-08-29,2024-08-21,0,Branch,,documents/kyc/CUST_882/Passport/882_812597.pdf
963,Voter ID,VID665271850906,2026-07-18,2031-07-18,Verified,26.0,2026-08-14,2026-07-22,0,Internet Banking,,documents/kyc/CUST_963/Voter_ID/963_638736.pdf
525,Driving License,DL392180575162,2012-12-09,2017-12-09,Verified,37.0,2013-01-02,2012-12-28,1,Mobile App,,documents/kyc/CUST_525/Driving_License/525_815886.pdf
973,Aadhaar,426380181607,2022-09-02,,Verified,37.0,2022-09-14,2022-09-15,0,Mobile App,,documents/kyc/CUST_973/Aadhaar/973_843831.pdf
807,Aadhaar,420438150722,2013-12-07,,Verified,98.0,2014-01-01,2013-12-30,0,Branch,,documents/kyc/CUST_807/Aadhaar/807_190786.pdf
221,Voter ID,VID880869411486,2012-05-13,2017-05-13,Verified,87.0,2012-05-23,2012-06-01,1,Mobile App,,documents/kyc/CUST_221/Voter_ID/221_225266.pdf
596,Aadhaar,872740820396,2017-01-07,,Verified,67.0,2017-01-28,2017-01-16,0,Mobile App,,documents/kyc/CUST_596/Aadhaar/596_640699.pdf
424,Passport,D8230716,2020-11-09,2025-11-09,Verified,22.0,2020-11-23,2020-11-17,1,Branch,,documents/kyc/CUST_424/Passport/424_367918.pdf
619,Voter ID,VID747231785881,2013-03-29,2018-03-29,Verified,3.0,2013-04-18,2013-04-07,1,Internet Banking,,documents/kyc/CUST_619/Voter_ID/619_850859.pdf
344,Voter ID,VID133174109256,2010-06-20,2020-06-20,Verified,86.0,2010-07-05,2010-06-21,1,Mobile App,,documents/kyc/CUST_344/Voter_ID/344_170168.pdf
736,Driving License,DL957474019069,2017-09-01,2027-09-01,Verified,74.0,2017-09-28,2017-09-10,0,Branch,,documents/kyc/CUST_736/Driving_License/736_754409.pdf
329,PAN,TQTVQ5716M,2014-04-29,,Verified,99.0,2014-05-15,2014-05-29,0,Branch,,documents/kyc/CUST_329/PAN/329_964070.pdf
702,Passport,S8346054,2021-03-13,2031-03-13,Verified,21.0,2021-03-24,2021-03-18,0,Mobile App,,documents/kyc/CUST_702/Passport/702_659551.pdf
593,Aadhaar,834216744161,2022-07-19,,Rejected,62.0,2022-07-22,2022-08-02,0,Mobile App,Document expired,documents/kyc/CUST_593/Aadhaar/593_808367.pdf
439,Passport,Z6924646,2019-10-06,2024-10-06,Pending,,,2019-10-12,1,Mobile App,,documents/kyc/CUST_439/Passport/439_530460.pdf
971,PAN,IDIAE7983L,2015-12-31,,Verified,11.0,2016-01-10,2016-01-30,0,Mobile App,,documents/kyc/CUST_971/PAN/971_404377.pdf
418,PAN,OMAKQ7904C,2020-12-23,,Verified,44.0,2021-01-17,2021-01-03,0,Mobile App,,documents/kyc/CUST_418/PAN/418_179408.pdf
534,Aadhaar,115857814745,2023-03-10,,Pending,,,2023-03-17,0,Mobile App,,documents/kyc/CUST_534/Aadhaar/534_537422.pdf
314,Voter ID,VID875223559641,2024-08-15,2034-08-15,Verified,25.0,2024-09-14,2024-09-08,0,Branch,,documents/kyc/CUST_314/Voter_ID/314_171440.pdf
894,Aadhaar,401253445448,2012-04-30,,Verified,91.0,2012-05-04,2012-05-09,0,Internet Banking,,documents/kyc/CUST_894/Aadhaar/894_153714.pdf
798,Voter ID,VID442822173407,2022-04-07,2032-04-07,Verified,61.0,2022-05-01,2022-04-21,0,Branch,,documents/kyc/CUST_798/Voter_ID/798_871067.pdf
888,Voter ID,VID436886525174,2012-11-19,2017-11-19,Verified,46.0,2012-11-21,2012-12-06,1,Branch,,documents/kyc/CUST_888/Voter_ID/888_572468.pdf
804,Voter ID,VID609464181291,2016-12-12,2021-12-12,Verified,96.0,2016-12-14,2016-12-27,1,Mobile App,,documents/kyc/CUST_804/Voter_ID/804_341861.pdf
785,Passport,D4223556,2014-10-08,2019-10-08,Verified,27.0,2014-10-13,2014-10-16,1,Branch,,documents/kyc/CUST_785/Passport/785_388182.pdf
850,PAN,POOIL6258Q,2022-08-18,,Verified,42.0,2022-09-11,2022-09-11,0,Mobile App,,documents/kyc/CUST_850/PAN/850_806917.pdf
746,Driving License,DL354098737397,2017-03-12,2037-03-12,Verified,95.0,2017-03-15,2017-03-24,0,Mobile App,,documents/kyc/CUST_746/Driving_License/746_279161.pdf
469,Driving License,DL167505959830,2025-11-16,2035-11-16,Rejected,13.0,2025-12-16,2025-12-06,0,Mobile App,Document details mismatch,documents/kyc/CUST_469/Driving_License/469_291610.pdf
689,Voter ID,VID817990735031,2018-07-05,2028-07-05,Verified,52.0,2018-07-09,2018-08-04,0,Internet Banking,,documents/kyc/CUST_689/Voter_ID/689_894803.pdf
684,Driving License,DL615505557227,2018-09-12,2028-09-12,Verified,53.0,2018-10-02,2018-09-30,0,Branch,,documents/kyc/CUST_684/Driving_License/684_993470.pdf
857,Voter ID,VID470638577207,2023-01-02,2028-01-02,Verified,51.0,2023-01-12,2023-01-19,0,Mobile App,,documents/kyc/CUST_857/Voter_ID/857_718282.pdf
627,Aadhaar,707885394081,2013-07-01,,Failed,28.0,2013-07-09,2013-07-17,0,Mobile App,Document details mismatch,documents/kyc/CUST_627/Aadhaar/627_690755.pdf
669,Passport,I1735848,2017-06-18,2022-06-18,Pending,,,2017-06-29,1,Mobile App,,documents/kyc/CUST_669/Passport/669_951965.pdf
598,Voter ID,VID106933872939,2015-06-10,2020-06-10,Verified,97.0,2015-07-08,2015-07-10,1,Branch,,documents/kyc/CUST_598/Voter_ID/598_863387.pdf
274,Passport,X1685234,2014-08-29,2024-08-29,Pending,,,2014-09-19,1,Internet Banking,,documents/kyc/CUST_274/Passport/274_390256.pdf
926,Aadhaar,778699565459,2011-05-22,,Verified,27.0,2011-06-15,2011-06-11,0,Internet Banking,,documents/kyc/CUST_926/Aadhaar/926_728558.pdf
122,PAN,KQQKU2368J,2026-04-01,,Pending,,,2026-04-22,0,Mobile App,,documents/kyc/CUST_122/PAN/122_507016.pdf
874,PAN,KXROI5489S,2025-09-16,,Verified,54.0,2025-10-03,2025-09-30,0,Mobile App,,documents/kyc/CUST_874/PAN/874_186935.pdf
49,PAN,QIYDZ2542J,2011-08-19,,Verified,7.0,2011-09-18,2011-09-16,0,Mobile App,,documents/kyc/CUST_49/PAN/49_379016.pdf
243,Voter ID,VID580525404442,2022-02-06,2027-02-06,Verified,31.0,2022-02-27,2022-02-07,0,Mobile App,,documents/kyc/CUST_243/Voter_ID/243_714978.pdf
326,Driving License,DL955888101620,2019-09-07,2039-09-07,Pending,,,2019-09-19,0,Internet Banking,,documents/kyc/CUST_326/Driving_License/326_974119.pdf
788,Driving License,DL740094492103,2025-04-14,2045-04-14,Rejected,93.0,2025-04-19,2025-04-29,0,Mobile App,Invalid document,documents/kyc/CUST_788/Driving_License/788_945440.pdf
482,Driving License,DL758761203709,2016-07-30,2036-07-30,Verified,33.0,2016-08-04,2016-08-27,0,Mobile App,,documents/kyc/CUST_482/Driving_License/482_406755.pdf
307,Aadhaar,903824961165,2018-08-14,,Verified,85.0,2018-08-19,2018-09-06,0,Mobile App,,documents/kyc/CUST_307/Aadhaar/307_365750.pdf
603,Driving License,DL105322300134,2010-11-03,2015-11-03,Failed,21.0,2010-11-14,2010-11-30,1,Internet Banking,Document expired,documents/kyc/CUST_603/Driving_License/603_374666.pdf
81,Voter ID,VID300809452492,2011-07-27,2021-07-27,Verified,11.0,2011-07-30,2011-08-18,1,Internet Banking,,documents/kyc/CUST_81/Voter_ID/81_209725.pdf
980,Voter ID,VID840960498215,2013-09-09,2023-09-09,Verified,2.0,2013-10-03,2013-09-30,1,Mobile App,,documents/kyc/CUST_980/Voter_ID/980_723726.pdf
671,Aadhaar,496315762260,2016-09-28,,Verified,31.0,2016-09-30,2016-09-29,0,Internet Banking,,documents/kyc/CUST_671/Aadhaar/671_809204.pdf
315,Driving License,DL141376122552,2022-08-11,2027-08-11,Verified,49.0,2022-08-20,2022-08-17,0,Mobile App,,documents/kyc/CUST_315/Driving_License/315_500130.pdf
30,Driving License,DL437984853568,2011-05-23,2021-05-23,Verified,6.0,2011-06-15,2011-06-12,1,Internet Banking,,documents/kyc/CUST_30/Driving_License/30_538700.pdf
170,PAN,TWDGT6489E,2012-08-10,,Verified,3.0,2012-08-19,2012-08-14,0,Branch,,documents/kyc/CUST_170/PAN/170_791347.pdf
285,Driving License,DL475301389890,2014-06-04,2019-06-04,Verified,83.0,2014-06-25,2014-06-11,1,Mobile App,,documents/kyc/CUST_285/Driving_License/285_285476.pdf
215,Passport,H3456463,2025-09-25,2035-09-25,Verified,39.0,2025-10-21,2025-10-04,0,Branch,,documents/kyc/CUST_215/Passport/215_504920.pdf
760,Aadhaar,815563938814,2016-10-25,,Verified,68.0,2016-11-04,2016-11-21,0,Branch,,documents/kyc/CUST_760/Aadhaar/760_606673.pdf
930,Voter ID,VID651298592329,2013-11-17,2023-11-17,Verified,53.0,2013-11-23,2013-12-01,1,Internet Banking,,documents/kyc/CUST_930/Voter_ID/930_506805.pdf
871,PAN,FRVWX7056K,2019-05-15,,Verified,30.0,2019-06-12,2019-05-19,0,Mobile App,,documents/kyc/CUST_871/PAN/871_312109.pdf
429,Passport,X8115796,2019-06-04,2024-06-04,Verified,96.0,2019-06-07,2019-06-25,1,Internet Banking,,documents/kyc/CUST_429/Passport/429_903073.pdf
910,Voter ID,VID730523387202,2012-10-11,2017-10-11,Rejected,13.0,2012-11-10,2012-10-20,1,Mobile App,Document image unclear,documents/kyc/CUST_910/Voter_ID/910_708327.pdf
128,PAN,YGVMY8675G,2020-01-10,,Verified,4.0,2020-01-30,2020-01-19,0,Mobile App,,documents/kyc/CUST_128/PAN/128_924984.pdf
747,Passport,S9464458,2025-10-27,2035-10-27,Pending,,,2025-11-06,0,Branch,,documents/kyc/CUST_747/Passport/747_103529.pdf
108,Aadhaar,922582509875,2025-03-29,,Verified,9.0,2025-03-31,2025-04-28,0,Mobile App,,documents/kyc/CUST_108/Aadhaar/108_272283.pdf
215,PAN,MGDRE6824X,2016-04-27,,Verified,96.0,2016-05-11,2016-05-24,0,Mobile App,,documents/kyc/CUST_215/PAN/215_299524.pdf
311,PAN,XBJKC1221M,2018-08-30,,Verified,1.0,2018-09-01,2018-09-07,0,Branch,,documents/kyc/CUST_311/PAN/311_520177.pdf
183,PAN,IUFXS4534Q,2025-05-27,,Verified,71.0,2025-06-07,2025-06-21,0,Mobile App,,documents/kyc/CUST_183/PAN/183_180490.pdf
283,PAN,RTQBV1460L,2014-01-27,,Verified,74.0,2014-02-09,2014-02-24,0,Mobile App,,documents/kyc/CUST_283/PAN/283_832018.pdf
713,Aadhaar,843658736153,2015-06-28,,Verified,47.0,2015-07-04,2015-07-10,0,Mobile App,,documents/kyc/CUST_713/Aadhaar/713_279368.pdf
27,Voter ID,VID954393490176,2011-03-10,2021-03-10,Verified,57.0,2011-03-30,2011-03-18,1,Mobile App,,documents/kyc/CUST_27/Voter_ID/27_949421.pdf
391,Aadhaar,727520152178,2024-06-05,,Verified,79.0,2024-06-30,2024-06-29,0,Mobile App,,documents/kyc/CUST_391/Aadhaar/391_677067.pdf
220,Driving License,DL452105716400,2018-04-11,2038-04-11,Verified,17.0,2018-04-25,2018-05-01,0,Internet Banking,,documents/kyc/CUST_220/Driving_License/220_846376.pdf
153,PAN,ZQBGJ7679L,2018-02-19,,Verified,61.0,2018-02-28,2018-03-06,0,Mobile App,,documents/kyc/CUST_153/PAN/153_802111.pdf
815,PAN,FWHNS3839N,2015-11-29,,Failed,56.0,2015-12-08,2015-12-07,0,Branch,Document expired,documents/kyc/CUST_815/PAN/815_413004.pdf
835,Passport,M9648863,2018-10-08,2028-10-08,Pending,,,2018-11-07,0,Internet Banking,,documents/kyc/CUST_835/Passport/835_875572.pdf
814,Aadhaar,434795404285,2014-01-30,,Verified,89.0,2014-02-04,2014-02-03,0,Mobile App,,documents/kyc/CUST_814/Aadhaar/814_829361.pdf
846,Passport,A2504114,2024-12-16,2034-12-16,Verified,74.0,2025-01-10,2025-01-11,0,Internet Banking,,documents/kyc/CUST_846/Passport/846_850266.pdf
447,Voter ID,VID492915118101,2020-04-14,2025-04-14,Verified,45.0,2020-05-09,2020-04-21,1,Branch,,documents/kyc/CUST_447/Voter_ID/447_317017.pdf
785,Voter ID,VID700237035810,2010-06-27,2020-06-27,Verified,20.0,2010-07-17,2010-07-11,1,Mobile App,,documents/kyc/CUST_785/Voter_ID/785_115189.pdf
500,Aadhaar,171705502201,2024-02-18,,Verified,44.0,2024-03-03,2024-02-25,0,Branch,,documents/kyc/CUST_500/Aadhaar/500_372266.pdf
151,Driving License,DL710709590645,2014-09-08,2034-09-08,Verified,39.0,2014-09-18,2014-10-07,0,Internet Banking,,documents/kyc/CUST_151/Driving_License/151_753409.pdf
187,Aadhaar,624097317406,2014-02-23,,Verified,3.0,2014-03-04,2014-02-25,0,Mobile App,,documents/kyc/CUST_187/Aadhaar/187_946805.pdf
555,Aadhaar,419185249333,2020-07-19,,Pending,,,2020-08-04,0,Mobile App,,documents/kyc/CUST_555/Aadhaar/555_586549.pdf
335,Voter ID,VID465990923341,2024-06-02,2034-06-02,Verified,80.0,2024-06-05,2024-06-19,0,Internet Banking,,documents/kyc/CUST_335/Voter_ID/335_618752.pdf
579,Passport,W8081397,2020-05-05,2025-05-05,Verified,79.0,2020-05-06,2020-06-03,1,Mobile App,,documents/kyc/CUST_579/Passport/579_297709.pdf
699,Driving License,DL306100074852,2026-07-05,2036-07-05,Verified,61.0,2026-07-23,2026-07-30,0,Branch,,documents/kyc/CUST_699/Driving_License/699_441799.pdf
484,Voter ID,VID723634223625,2015-07-31,2025-07-31,Pending,,,2015-08-30,1,Branch,,documents/kyc/CUST_484/Voter_ID/484_301399.pdf
252,Passport,E2185737,2019-11-02,2024-11-02,Verified,8.0,2019-11-25,2019-11-22,1,Mobile App,,documents/kyc/CUST_252/Passport/252_498976.pdf
557,Driving License,DL175117881333,2019-08-25,2039-08-25,Verified,93.0,2019-09-21,2019-09-07,0,Internet Banking,,documents/kyc/CUST_557/Driving_License/557_676498.pdf
832,Passport,A3497720,2020-03-23,2030-03-23,Verified,82.0,2020-03-31,2020-04-19,0,Branch,,documents/kyc/CUST_832/Passport/832_280796.pdf
155,Passport,Y3775182,2019-02-01,2029-02-01,Verified,100.0,2019-02-07,2019-02-15,0,Branch,,documents/kyc/CUST_155/Passport/155_176676.pdf
105,Voter ID,VID209251140290,2014-06-23,2024-06-23,Verified,66.0,2014-07-05,2014-07-23,1,Branch,,documents/kyc/CUST_105/Voter_ID/105_642899.pdf
132,Passport,Q4029300,2025-10-31,2030-10-31,Verified,53.0,2025-11-01,2025-11-30,0,Mobile App,,documents/kyc/CUST_132/Passport/132_283339.pdf
136,Driving License,DL536797933982,2019-05-13,2029-05-13,Verified,62.0,2019-06-12,2019-05-17,0,Mobile App,,documents/kyc/CUST_136/Driving_License/136_280998.pdf
858,PAN,JJYLR4533T,2018-10-30,,Verified,82.0,2018-11-11,2018-11-13,0,Mobile App,,documents/kyc/CUST_858/PAN/858_857021.pdf
627,PAN,EIBME8974M,2013-06-05,,Rejected,20.0,2013-06-20,2013-06-27,0,Mobile App,Verification failed,documents/kyc/CUST_627/PAN/627_195847.pdf
229,Driving License,DL581576189532,2015-10-24,2035-10-24,Verified,81.0,2015-11-23,2015-11-02,0,Mobile App,,documents/kyc/CUST_229/Driving_License/229_704369.pdf
298,Voter ID,VID393756859343,2023-10-24,2033-10-24,Verified,61.0,2023-11-02,2023-10-27,0,Internet Banking,,documents/kyc/CUST_298/Voter_ID/298_517707.pdf
195,Driving License,DL381099405401,2011-12-06,2021-12-06,Verified,8.0,2012-01-01,2011-12-26,1,Branch,,documents/kyc/CUST_195/Driving_License/195_881431.pdf
562,Passport,G2028945,2017-03-08,2027-03-08,Verified,56.0,2017-03-18,2017-04-07,0,Branch,,documents/kyc/CUST_562/Passport/562_934865.pdf
206,Aadhaar,508883329115,2013-11-22,,Verified,44.0,2013-12-04,2013-12-04,0,Branch,,documents/kyc/CUST_206/Aadhaar/206_365272.pdf
961,Passport,C7401367,2013-06-22,2023-06-22,Failed,10.0,2013-07-02,2013-07-16,1,Mobile App,Verification failed,documents/kyc/CUST_961/Passport/961_882490.pdf
664,Aadhaar,524555424508,2018-10-18,,Pending,,,2018-11-08,0,Mobile App,,documents/kyc/CUST_664/Aadhaar/664_888046.pdf
354,Passport,A7258753,2025-11-07,2035-11-07,Pending,,,2025-11-26,0,Mobile App,,documents/kyc/CUST_354/Passport/354_874806.pdf
229,Voter ID,VID616903514474,2014-05-29,2019-05-29,Pending,,,2014-06-22,1,Internet Banking,,documents/kyc/CUST_229/Voter_ID/229_869633.pdf
669,Driving License,DL729976306326,2025-01-17,2030-01-17,Rejected,62.0,2025-02-02,2025-01-30,0,Mobile App,Document image unclear,documents/kyc/CUST_669/Driving_License/669_585650.pdf
610,Driving License,DL748829950444,2017-12-06,2022-12-06,Verified,44.0,2017-12-27,2018-01-03,1,Branch,,documents/kyc/CUST_610/Driving_License/610_280734.pdf
578,PAN,AQJLO4095P,2010-06-13,,Pending,,,2010-06-14,0,Branch,,documents/kyc/CUST_578/PAN/578_255981.pdf
