customer_name,mobile_number,email,dob,gender,occupation,house_no,street,area,city,state,pincode,country,pan_number,kyc_status,created_at,customer_status,login_status
Ridhi Korpal,8424008055,ridhi.korpal17@gmail.com,1982-06-12,Female,Self Employed,719,Seth Chowk,Ville,Lucknow,Uttar Pradesh,226001,India,IXCGW2244U,Verified,2025-05-16 23:09:33,Active,Active
Qabil Borde,8280061261,qabil.borde18@gmail.com,1983-02-06,Male,Self Employed,141,Sharma Ganj,Ville,Lucknow,Uttar Pradesh,226001,India,QGFVU6291L,Verified,2024-09-09 05:37:29,Active,Active
Ranveer Randhawa,7071371841,ranveer.randhawa19@gmail.com,1980-02-27,Male,Teacher,338,Memon Nagar,Ville,Chennai,Tamil Nadu,600001,India,ILZIC1697O,Pending,2023-07-08 07:43:37,Active,Active
Sathvik Jhaveri,9211733652,sathvik.jhaveri20@gmail.com,1994-08-29,Male,Doctor,587,Saxena,Ville,Mumbai,Maharashtra,400001,India,TIXFI4913Q,Verified,2026-01-18 13:10:14,Active,Active
Zashil Sekhon,8003328921,zashil.sekhon21@gmail.com,1992-04-03,Male,Bank Employee,147,Madan Chowk,Ville,Kanpur,Uttar Pradesh,208001,India,KWVLC6314S,Pending,2024-07-27 16:50:43,Active,Active
Advika Bali,6697377144,advika.bali22@gmail.com,1996-12-27,Female,Teacher,674,Ratti Chowk,Ville,Bhopal,Madhya Pradesh,462001,India,QBCEO8240F,Verified,2022-09-20 08:47:11,Active,Active
Timothy Pingle,7319958470,timothy.pingle23@gmail.com,1995-10-01,Male,HR Manager,232,Deep Circle,Ville,Bhopal,Madhya Pradesh,462001,India,FBAYG6147H,Verified,2026-05-10 05:33:10,Active,Active
Samesh Sha,7077815703,samesh.sha24@gmail.com,2003-08-13,Male,Marketing Manager,516,Roy Chowk,Ville,Pune,Maharashtra,411001,India,EVHPN8635C,Verified,2022-03-19 10:52:35,Inactive,Active
Upma Kulkarni,9282258089,upma.kulkarni25@gmail.com,1991-02-10,Other,Self Employed,556,Sachar Road,Ville,Delhi,Delhi,110001,India,CMBEA8894C,Verified,2022-01-30 13:26:39,Active,Active
Aadi Sabharwal,8806411616,aadi.sabharwal26@gmail.com,1976-09-03,Male,Self Employed,880,Chatterjee Road,Ville,Kolkata,West Bengal,700001,India,ZWGJE4939O,Verified,2026-03-24 23:14:55,Active,Active
Advay Narang,9115597598,advay.narang27@gmail.com,2003-10-25,Male,Student,296,Tailor Path,Ville,Kota,Rajasthan,324001,India,FMMCO2257E,Verified,2022-02-25 20:49:25,Blocked,Blocked
Max Kala,9458389466,max.kala28@gmail.com,1991-09-25,Other,Marketing Manager,640,Basu Nagar,Ville,Jaipur,Rajasthan,302001,India,EKPQV6108F,Verified,2024-10-18 03:45:53,Active,Active
Sudiksha Pingle,8009299675,sudiksha.pingle29@gmail.com,1975-01-30,Female,Accountant,11,Wali Nagar,Ville,Jaipur,Rajasthan,302001,India,JYYEX7528H,Verified,2021-10-08 15:58:44,Active,Active
Frado Krish,9379987170,frado.krish30@gmail.com,1990-10-03,Male,Teacher,557,Chakrabarti Circle,Ville,Jaipur,Rajasthan,302001,India,WUTAB5556O,Rejected,2026-03-18 18:00:55,Blocked,Blocked
Maanas Mani,9923797348,maanas.mani31@gmail.com,1974-07-19,Male,Engineer,894,Bhatti Road,Ville,Chennai,Tamil Nadu,600001,India,UBQWN4863T,Verified,2022-06-09 14:37:35,Inactive,Active
Ayushman Chaudhuri,8456537097,ayushman.chaudhuri32@gmail.com,1999-02-02,Male,Consultant,188,Sarkar Nagar,Ville,Patna,Bihar,800001,India,HOCNT8145G,Verified,2025-08-13 20:16:36,Active,Active
Siya Cheema,9507889375,siya.cheema33@gmail.com,1982-02-13,Female,HR Manager,874,Raja Zila,Ville,Bengaluru,Karnataka,560001,India,BWLDA7179H,Verified,2022-02-10 20:53:06,Active,Active
Oviya Walla,8051403753,oviya.walla34@gmail.com,1977-10-18,Female,Engineer,48,Kalla Path,Ville,Hyderabad,Telangana,500001,India,SARRJ7301Y,Verified,2022-04-22 17:36:35,Active,Active
Bahadurjit Bala,7958855015,bahadurjit.bala35@gmail.com,2005-11-14,Male,Software Engineer,428,Shan Chowk,Ville,Delhi,Delhi,110001,India,SNEEH4885I,Verified,2022-12-15 18:19:56,Blocked,Blocked
Geetika Bumb,8620604816,geetika.bumb36@gmail.com,1997-07-14,Female,Marketing Manager,723,Murty Ganj,Ville,Ahmedabad,Gujarat,380001,India,IDMIL8815B,Verified,2025-08-09 12:32:27,Active,Active
Thomas D’Alia,7191114298,thomas.d’alia37@gmail.com,1985-09-18,Male,Government Employee,5,Goswami Zila,Ville,Kolkata,West Bengal,700001,India,UVOFP6751O,Verified,2024-11-05 06:14:13,Active,Active
Nimrat Patel,9561937269,nimrat.patel38@gmail.com,2005-03-27,Female,Accountant,129,Vyas Ganj,Ville,Delhi,Delhi,110001,India,DVSQU3845O,Verified,2023-07-22 02:40:04,Active,Active
Andrew Thakur,8232858657,andrew.thakur39@gmail.com,1982-09-30,Male,Marketing Manager,714,Sharaf Zila,Ville,Hyderabad,Telangana,500001,India,MTPIZ1370A,Verified,2026-02-11 14:49:24,Active,Active
Logan Gaba,6760940010,logan.gaba40@gmail.com,1978-03-21,Male,Lawyer,581,Lata Circle,Ville,Kolkata,West Bengal,700001,India,DNRND2338O,Verified,2023-09-27 23:56:11,Active,Active
Kashvi Prabhakar,8463260940,kashvi.prabhakar41@gmail.com,2002-09-20,Female,Government Employee,113,Prabhakar Path,Ville,Bhopal,Madhya Pradesh,462001,India,UPYCE0658R,Pending,2021-10-27 16:03:56,Active,Active
Maanav Deshpande,7973356860,maanav.deshpande42@gmail.com,1988-04-25,Male,Marketing Manager,555,Shanker Nagar,Ville,Pune,Maharashtra,411001,India,KVDNS9255W,Verified,2023-06-09 00:40:00,Active,Active
Abdul Lalla,6511583667,abdul.lalla43@gmail.com,1998-09-12,Male,Accountant,996,Dyal Street,Ville,Chennai,Tamil Nadu,600001,India,GNVKM1708R,Verified,2026-03-19 19:35:54,Active,Active
Bhanumati Bumb,8822960706,bhanumati.bumb44@gmail.com,1982-06-16,Other,Sales Executive,845,Chacko Marg,Ville,Ahmedabad,Gujarat,380001,India,KSHBB0362I,Pending,2022-08-18 19:35:34,Inactive,Active
Bhavna Gulati,9762961414,bhavna.gulati45@gmail.com,2005-01-10,Female,HR Manager,821,Bail Path,Ville,Ahmedabad,Gujarat,380001,India,CBDYU4181C,Verified,2024-08-29 20:41:04,Active,Active
Gavin Sankaran,6065705237,gavin.sankaran46@gmail.com,1988-04-08,Male,Marketing Manager,531,Shetty Street,Ville,Pune,Maharashtra,411001,India,DYEXH6100Y,Pending,2025-01-27 18:09:46,Active,Active
Lavanya Talwar,9793011540,lavanya.talwar47@gmail.com,1982-03-28,Female,Accountant,626,Grewal Zila,Ville,Chennai,Tamil Nadu,600001,India,MXSOO8317A,Verified,2022-09-28 20:28:30,Active,Active
Darsh Raja,7688647756,darsh.raja48@gmail.com,2003-10-09,Male,Student,374,Talwar Street,Ville,Jaipur,Rajasthan,302001,India,RAKHA1713Y,Verified,2023-07-13 21:57:04,Active,Active
Hema Mukhopadhyay,7686549594,hema.mukhopadhyay49@gmail.com,2003-10-21,Female,HR Manager,584,Cheema Road,Ville,Kolkata,West Bengal,700001,India,AUVXT8795G,Verified,2023-09-20 07:11:52,Active,Active
Rajeshri Luthra,8739283120,rajeshri.luthra50@gmail.com,1982-05-28,Female,Business Owner,795,Deol Marg,Ville,Mumbai,Maharashtra,400001,India,MZXFB1000F,Rejected,2022-10-16 12:32:11,Active,Active
Madhavi Handa,7600808274,madhavi.handa51@gmail.com,1979-05-19,Female,Lawyer,244,Ramakrishnan Path,Ville,Delhi,Delhi,110001,India,DFIMT4309L,Verified,2025-01-23 21:58:58,Active,Active
Samaksh Gopal,7516693975,samaksh.gopal52@gmail.com,1986-11-14,Male,Marketing Manager,481,Tank Marg,Ville,Pune,Maharashtra,411001,India,KRKET7585D,Verified,2023-07-29 21:33:48,Active,Active
Nilima Trivedi,9600934235,nilima.trivedi53@gmail.com,2004-02-12,Female,Lawyer,925,Rama Ganj,Ville,Bhopal,Madhya Pradesh,462001,India,YYRDU0396O,Verified,2022-06-28 09:22:50,Active,Active
Ishita Soman,6063019541,ishita.soman54@gmail.com,2003-06-01,Female,Sales Executive,116,Kohli Zila,Ville,Sitapur,Uttar Pradesh,261001,India,DIWRB6325U,Verified,2022-10-25 14:32:10,Active,Active
Joshua Sibal,8403534807,joshua.sibal55@gmail.com,2002-03-24,Male,HR Manager,462,Sabharwal Path,Ville,Hyderabad,Telangana,500001,India,CCSLO5858E,Verified,2022-08-08 17:20:12,Active,Active
Forum Seshadri,9991385792,forum.seshadri56@gmail.com,2004-08-11,Female,Bank Employee,290,Arya Zila,Ville,Chennai,Tamil Nadu,600001,India,XZTXF7738A,Verified,2024-03-16 02:51:18,Active,Active
Udant Nazareth,8579384936,udant.nazareth57@gmail.com,1991-08-31,Male,Engineer,121,Goel Street,Ville,Jaipur,Rajasthan,302001,India,VOSNB5124S,Verified,2023-05-09 18:11:36,Active,Active
Zarna Chad,6763556248,zarna.chad58@gmail.com,1997-08-10,Female,Teacher,147,Guha Circle,Ville,Lucknow,Uttar Pradesh,226001,India,OLWNG2176X,Verified,2023-02-03 15:27:20,Active,Active
Falan Bakshi,7050032537,falan.bakshi59@gmail.com,1981-12-18,Male,Government Employee,671,Patil Circle,Ville,Patna,Bihar,800001,India,NMKOH5585Y,Verified,2021-10-08 12:55:35,Active,Active
Ryan Rege,9595146809,ryan.rege60@gmail.com,1998-05-30,Male,Teacher,304,Seth Path,Ville,Hyderabad,Telangana,500001,India,ADCFJ2136C,Verified,2026-01-01 00:00:53,Active,Active
Kalpit Sarna,9919487184,kalpit.sarna61@gmail.com,1986-05-05,Male,Engineer,141,Parmar Road,Ville,Lucknow,Uttar Pradesh,226001,India,RITQN1500H,Verified,2024-11-25 20:48:03,Active,Active
Nathaniel Nanda,9113433679,nathaniel.nanda62@gmail.com,1985-09-02,Male,HR Manager,706,Anne Marg,Ville,Ahmedabad,Gujarat,380001,India,JVTAE3095Z,Verified,2025-01-07 10:27:08,Active,Active
Ekavir Iyer,9094574350,ekavir.iyer63@gmail.com,1975-07-28,Male,Self Employed,643,Raman,Ville,Ahmedabad,Gujarat,380001,India,VWNWG5731N,Rejected,2024-06-29 14:50:37,Active,Active
Arin Krishnamurthy,9737764369,arin.krishnamurthy64@gmail.com,1973-03-20,Male,Accountant,609,Rout Zila,Ville,Hyderabad,Telangana,500001,India,QJIDG8588U,Verified,2026-02-08 18:36:41,Active,Active
Kashish Menon,6815910564,kashish.menon65@gmail.com,1970-10-04,Female,Student,296,Trivedi Nagar,Ville,Mumbai,Maharashtra,400001,India,OUBUC0105I,Verified,2022-04-13 14:39:55,Active,Active
Anay Pillay,9265608073,anay.pillay66@gmail.com,2004-05-19,Male,Software Engineer,844,Hayer,Ville,Kota,Rajasthan,324001,India,NIYWY6458R,Pending,2025-11-02 10:25:37,Active,Active
Barkha Chana,8532379789,barkha.chana67@gmail.com,1999-06-20,Female,HR Manager,320,Prasad Road,Ville,Hyderabad,Telangana,500001,India,CVEVF2081I,Pending,2024-04-21 22:06:22,Active,Active
Hitesh Subramaniam,9446004773,hitesh.subramaniam68@gmail.com,1973-10-25,Male,Business Owner,725,Agrawal Circle,Ville,Bengaluru,Karnataka,560001,India,JKWUN0480Y,Verified,2023-05-04 05:45:52,Active,Active
Advaith Warrior,7247310149,advaith.warrior69@gmail.com,1984-05-14,Male,Government Employee,341,Dhawan Path,Ville,Sitapur,Uttar Pradesh,261001,India,PRJEO8595Q,Pending,2022-07-18 20:42:47,Inactive,Blocked
Jagdish Varty,9842898093,jagdish.varty70@gmail.com,1984-07-24,Other,Lawyer,350,Patla,Ville,Sitapur,Uttar Pradesh,261001,India,INHQS5613V,Verified,2025-06-27 23:51:46,Active,Active
Nathaniel Agarwal,8377458881,nathaniel.agarwal71@gmail.com,1999-02-21,Male,Lawyer,752,Vohra Street,Ville,Jaipur,Rajasthan,302001,India,GZGLX1420F,Pending,2024-10-08 16:07:01,Active,Active
Mekhala Mane,9593899221,mekhala.mane72@gmail.com,1975-10-22,Female,Bank Employee,872,Acharya Zila,Ville,Kota,Rajasthan,324001,India,RFQXV0171L,Verified,2025-12-28 08:52:17,Active,Active
Mugdha Mannan,7825613827,mugdha.mannan73@gmail.com,1997-06-04,Female,Doctor,363,Gola Chowk,Ville,Lucknow,Uttar Pradesh,226001,India,KCCSJ9085V,Verified,2022-03-02 18:17:52,Active,Active
Vihaan Joshi,7164658410,vihaan.joshi74@gmail.com,2005-04-14,Male,Bank Employee,290,Ben Street,Ville,Kanpur,Uttar Pradesh,208001,India,GHFJS8744C,Verified,2023-08-19 09:13:46,Active,Active
Udyati Luthra,7206303712,udyati.luthra75@gmail.com,1988-11-03,Female,Marketing Manager,777,Nagar Chowk,Ville,Pune,Maharashtra,411001,India,AHUCT4842M,Verified,2021-09-22 11:09:02,Active,Active
Omya Malhotra,9497985099,omya.malhotra76@gmail.com,1997-04-08,Female,Self Employed,217,Ganguly,Ville,Chennai,Tamil Nadu,600001,India,SQWZY1749M,Pending,2022-09-08 23:23:22,Active,Active
Pallavi Pradhan,7846318515,pallavi.pradhan77@gmail.com,1999-09-16,Female,Marketing Manager,849,Kapadia Zila,Ville,Pune,Maharashtra,411001,India,MDCXD0045V,Pending,2024-04-10 19:11:50,Active,Active
Chaitaly Chahal,7062754228,chaitaly.chahal78@gmail.com,1974-04-24,Female,Bank Employee,620,Shere Chowk,Ville,Mumbai,Maharashtra,400001,India,WQXOH7351C,Verified,2025-02-07 09:51:35,Active,Active
Sathvik Sen,7487377848,sathvik.sen79@gmail.com,1981-11-09,Male,Software Engineer,745,Vala Road,Ville,Pune,Maharashtra,411001,India,MRWRK6602D,Pending,2022-08-23 13:52:41,Active,Active
Maya Banik,8198536207,maya.banik80@gmail.com,1975-10-26,Female,Doctor,291,Dhingra Ganj,Ville,Jaipur,Rajasthan,302001,India,KLELR0195Q,Verified,2026-01-05 22:45:06,Active,Active
Yutika Bhalla,6220762466,yutika.bhalla81@gmail.com,1994-03-28,Female,HR Manager,645,Malhotra Ganj,Ville,Bengaluru,Karnataka,560001,India,EADZD7355G,Verified,2024-01-22 12:35:37,Active,Active
Pushti Bajwa,7945622040,pushti.bajwa82@gmail.com,1976-06-19,Female,Software Engineer,43,Gandhi Circle,Ville,Jaipur,Rajasthan,302001,India,SLLEH9266V,Verified,2026-04-12 05:22:16,Active,Active
Anya Talwar,8058036933,anya.talwar83@gmail.com,1979-01-21,Female,Marketing Manager,299,Mann Marg,Ville,Lucknow,Uttar Pradesh,226001,India,ZGEUW8236D,Verified,2023-03-11 01:18:09,Active,Active
Kashish Dhar,9836154184,kashish.dhar84@gmail.com,1972-07-04,Female,Government Employee,612,Doctor Marg,Ville,Sitapur,Uttar Pradesh,261001,India,ECLSJ7555Q,Verified,2022-03-24 23:34:45,Active,Active
Yashvi Sengupta,8566201063,yashvi.sengupta85@gmail.com,1981-10-05,Female,HR Manager,590,Nagar Road,Ville,Patna,Bihar,800001,India,BWREZ5455F,Verified,2024-02-21 19:51:40,Active,Active
Diya Seth,9887160901,diya.seth86@gmail.com,1991-07-21,Female,Sales Executive,700,Bajaj Ganj,Ville,Mumbai,Maharashtra,400001,India,MHUNB2653J,Verified,2021-10-03 20:14:43,Active,Active
Kritika Kale,9126478854,kritika.kale87@gmail.com,1998-07-15,Female,Business Owner,303,Parekh,Ville,Pune,Maharashtra,411001,India,CZHWJ6275I,Verified,2026-06-30 17:07:46,Active,Active
Priya Balay,6342859172,priya.balay88@gmail.com,1978-11-03,Female,Software Engineer,424,Khatri Zila,Ville,Ahmedabad,Gujarat,380001,India,OTTOT2416X,Verified,2025-04-27 23:18:52,Inactive,Active
Warhi Jani,6393422947,warhi.jani89@gmail.com,1996-07-08,Female,Sales Executive,730,Bali Circle,Ville,Lucknow,Uttar Pradesh,226001,India,QZZZH6785Y,Verified,2023-11-25 11:17:11,Active,Active
Kamya Shankar,9415951083,kamya.shankar90@gmail.com,1988-02-11,Female,Accountant,521,Patla Path,Ville,Hyderabad,Telangana,500001,India,SJWRU6002W,Verified,2025-12-12 02:12:01,Active,Active
Vinaya Bhatti,9326105405,vinaya.bhatti91@gmail.com,1973-10-08,Female,Accountant,742,Sarin,Ville,Kolkata,West Bengal,700001,India,UCOWN9729U,Pending,2025-05-24 03:59:17,Active,Active
Sara Yadav,8223962294,sara.yadav92@gmail.com,1982-04-10,Female,Self Employed,623,Randhawa Chowk,Ville,Hyderabad,Telangana,500001,India,LQQHC8736F,Verified,2025-04-02 11:52:01,Active,Active
Tanvi Koshy,7060019672,tanvi.koshy93@gmail.com,2002-11-26,Female,Government Employee,863,Gola Path,Ville,Sitapur,Uttar Pradesh,261001,India,OMNMW7277R,Verified,2024-05-28 18:20:53,Blocked,Blocked
Upasna Oza,8617874166,upasna.oza94@gmail.com,1992-04-22,Female,Accountant,515,Agrawal Chowk,Ville,Patna,Bihar,800001,India,YGHGD6909A,Verified,2026-07-24 11:24:45,Active,Active
Neha Doctor,7698204473,neha.doctor95@gmail.com,1978-05-13,Female,Doctor,29,Nagi Circle,Ville,Ahmedabad,Gujarat,380001,India,BMOYZ1801V,Verified,2021-10-23 02:22:05,Active,Active
Gunbir Cherian,6690187911,gunbir.cherian96@gmail.com,1992-12-28,Male,Sales Executive,224,Zachariah Nagar,Ville,Bhopal,Madhya Pradesh,462001,India,UWFNJ6272J,Verified,2024-09-09 07:37:12,Active,Active
Radha Tak,9114709224,radha.tak97@gmail.com,1993-09-23,Female,Consultant,901,Dhillon Street,Ville,Chennai,Tamil Nadu,600001,India,UNUMI1088O,Verified,2023-03-28 20:19:12,Inactive,Active
Rudra Konda,7232153767,rudra.konda98@gmail.com,1999-04-09,Male,HR Manager,978,Ramaswamy Circle,Ville,Lucknow,Uttar Pradesh,226001,India,BZRZM2748P,Pending,2024-07-25 15:36:59,Active,Active
Matthew Bera,7012401213,matthew.bera99@gmail.com,1975-08-28,Male,Lawyer,586,Vyas Chowk,Ville,Delhi,Delhi,110001,India,REGDI9954K,Verified,2022-02-14 05:38:39,Inactive,Active
Jonathan Bail,7300816240,jonathan.bail100@gmail.com,1984-09-16,Other,Software Engineer,934,Bahl Ganj,Ville,Ahmedabad,Gujarat,380001,India,DERPT3278B,Pending,2025-01-09 19:02:48,Blocked,Blocked
Warinder Lall,6636255044,warinder.lall101@gmail.com,1997-11-29,Male,Lawyer,812,Sant Ganj,Ville,Bhopal,Madhya Pradesh,462001,India,EURLC8507U,Verified,2021-08-27 06:09:59,Active,Active
Mahika Sane,6459050943,mahika.sane102@gmail.com,1986-01-10,Female,Bank Employee,43,Atwal Street,Ville,Kanpur,Uttar Pradesh,208001,India,QKYRW3749Q,Verified,2023-03-22 08:03:38,Active,Active
Faras Mohanty,8562606401,faras.mohanty103@gmail.com,1975-01-13,Male,Engineer,631,Mukhopadhyay Chowk,Ville,Mumbai,Maharashtra,400001,India,LDAGS7616R,Verified,2021-11-08 23:47:19,Active,Active
Upkaar Murty,8063082965,upkaar.murty104@gmail.com,2000-05-20,Male,HR Manager,891,Halder Nagar,Ville,Mumbai,Maharashtra,400001,India,OYVHQ6481J,Verified,2023-11-16 10:05:01,Active,Active
Aadhya Dora,6288839152,aadhya.dora105@gmail.com,1989-12-25,Female,Accountant,865,Sidhu,Ville,Bengaluru,Karnataka,560001,India,EWHGF2684A,Verified,2025-02-05 22:08:05,Active,Active
Bachittar Bhat,7891208843,bachittar.bhat106@gmail.com,1972-06-05,Male,Software Engineer,374,Sani Nagar,Ville,Hyderabad,Telangana,500001,India,AYNQG5096J,Verified,2021-08-29 10:27:13,Active,Active
Tristan Dyal,6032304336,tristan.dyal107@gmail.com,1975-02-07,Male,Accountant,301,Goswami Street,Ville,Kota,Rajasthan,324001,India,ZOMAL4614B,Verified,2025-11-17 07:05:08,Active,Active
Shravya Raghavan,7882164433,shravya.raghavan108@gmail.com,2000-02-28,Female,Business Owner,872,Buch Road,Ville,Patna,Bihar,800001,India,ZNPZO1715R,Verified,2022-08-06 22:36:34,Active,Active
Barkha Wali,9768502633,barkha.wali109@gmail.com,1998-06-11,Female,Bank Employee,782,Raman Street,Ville,Jaipur,Rajasthan,302001,India,BUBTC7323Q,Verified,2022-02-08 06:06:36,Blocked,Blocked
Ansh Sehgal,9651522961,ansh.sehgal110@gmail.com,1989-08-23,Male,Accountant,654,Shukla Nagar,Ville,Jaipur,Rajasthan,302001,India,MUTTY9754L,Verified,2021-09-25 22:20:33,Active,Active
Pranav Mutti,6085618892,pranav.mutti111@gmail.com,1980-03-23,Male,Doctor,611,Bhandari Zila,Ville,Mumbai,Maharashtra,400001,India,LVXSB0655J,Verified,2023-07-01 02:36:37,Active,Active
Ekiya Loke,9986653222,ekiya.loke112@gmail.com,2003-01-04,Female,Bank Employee,345,Ratti Chowk,Ville,Kolkata,West Bengal,700001,India,MSOJF5009J,Pending,2024-07-14 20:30:01,Active,Active
Amara Das,6876080923,amara.das113@gmail.com,1987-12-04,Female,Self Employed,299,Aggarwal Ganj,Ville,Bengaluru,Karnataka,560001,India,UFPQB7236T,Verified,2023-08-26 23:04:45,Active,Active
Diya Rattan,7986295390,diya.rattan114@gmail.com,2000-09-05,Female,Student,611,Gupta Zila,Ville,Lucknow,Uttar Pradesh,226001,India,DFVKY9143T,Verified,2025-07-12 00:46:05,Active,Active
Triya Dubey,6331819389,triya.dubey115@gmail.com,1985-06-09,Female,Accountant,259,Kibe Zila,Ville,Kanpur,Uttar Pradesh,208001,India,EQBMQ2550G,Verified,2026-07-29 11:24:44,Active,Active
Siddharth Hayre,9824655172,siddharth.hayre116@gmail.com,1975-03-03,Male,Accountant,289,Kalita Ganj,Ville,Jaipur,Rajasthan,302001,India,CSDHF1659S,Verified,2023-11-28 10:55:10,Active,Active
Imaran Comar,9529662307,imaran.comar117@gmail.com,1996-05-08,Male,Business Owner,614,Bhatti Zila,Ville,Delhi,Delhi,110001,India,ODMPP4020X,Verified,2022-06-23 17:12:31,Active,Active
Jasmit Rattan,7526986158,jasmit.rattan118@gmail.com,2000-04-10,Female,Teacher,465,Kalita Chowk,Ville,Bhopal,Madhya Pradesh,462001,India,AFSEL0298V,Pending,2024-09-25 02:10:00,Active,Active
Ubika Khatri,9577101081,ubika.khatri119@gmail.com,1975-04-10,Female,Marketing Manager,830,Devi Marg,Ville,Bengaluru,Karnataka,560001,India,XZVXK1451O,Pending,2024-07-24 18:19:11,Active,Active
Wyatt Dua,8909763741,wyatt.dua120@gmail.com,1985-04-04,Male,Engineer,787,Murty Street,Ville,Chennai,Tamil Nadu,600001,India,DWXOE1982Z,Verified,2024-01-20 08:11:46,Active,Active
Ryan Dhar,8389465529,ryan.dhar121@gmail.com,1996-08-03,Male,Engineer,768,Mutti Path,Ville,Bhopal,Madhya Pradesh,462001,India,WJMLV5446Y,Verified,2025-07-16 21:42:57,Active,Active
Dalaja Pradhan,9699327878,dalaja.pradhan122@gmail.com,1970-02-16,Female,Self Employed,572,Dugar Ganj,Ville,Mumbai,Maharashtra,400001,India,XCUEW3096C,Verified,2024-01-09 01:40:42,Active,Active
Alexander Sarkar,6348045913,alexander.sarkar123@gmail.com,1972-10-24,Male,Consultant,60,Merchant Circle,Ville,Bhopal,Madhya Pradesh,462001,India,CUPLL4851M,Pending,2022-05-23 10:37:07,Active,Active
Vrinda Kumar,8837665032,vrinda.kumar124@gmail.com,1989-11-19,Female,Business Owner,978,Natt Chowk,Ville,Kolkata,West Bengal,700001,India,ZATBC3709O,Verified,2026-07-18 09:57:32,Active,Active
Zilmil Bhasin,6143504575,zilmil.bhasin125@gmail.com,1999-04-06,Female,Software Engineer,293,Kari Path,Ville,Delhi,Delhi,110001,India,QCJAW4390E,Verified,2023-10-25 19:44:14,Active,Active
