account_id,card_number,card_holder_name,card_type,card_network,issue_date,expiry_date,card_status,daily_limit,international_usage,contactless_enabled,created_at,block_reason
775,4192445260567327,ANDREW SODHI,Debit,Mastercard,2026-01-22,2030-01-22,Blocked,150000,0,1,2026-01-22,Multiple Failed PIN Attempts
884,4611932914368862,THOMAS SAINI,Debit,Visa,2022-02-19,2025-02-19,Expired,25000,0,1,2022-02-19,Card Expired
98,4100840152987742,SHRAVYA BORRA,Debit,RuPay,2023-06-14,2027-06-14,Active,150000,0,1,2023-06-14,
923,4240742054849075,AARNAV COMAR,Debit,RuPay,2021-02-18,2025-02-18,Expired,150000,0,0,2021-02-18,Card Expired
549,4145657084606949,NITARA MINHAS,Debit,RuPay,2023-11-18,2028-11-18,Active,100000,0,1,2023-11-18,
1029,4905748787435327,IKSHITA BANSAL,Prepaid,Visa,2025-06-11,2028-06-11,Active,10000,0,1,2025-06-11,
1458,4893359486141122,UNNI KUMER,Debit,Visa,2022-10-30,2026-10-30,Active,200000,0,0,2022-10-30,
238,4849368574729309,INDIRA GOEL,Debit,Visa,2024-05-18,2029-05-18,Active,50000,0,1,2024-05-18,
121,4272976616857605,ABHIMANYU PERI,Prepaid,Visa,2026-03-06,2030-03-06,Active,50000,0,1,2026-03-06,
852,4843831336143564,MICHAEL KALA,Credit,RuPay,2025-02-18,2029-02-18,Active,150000,0,1,2025-02-18,
274,4574377028068740,ONKAR CHANDRAN,Credit,Mastercard,2021-09-24,2024-09-24,Expired,100000,0,1,2021-09-24,Card Expired
396,4703705857721916,MANTHAN GANESH,Debit,Visa,2024-11-17,2028-11-17,Active,200000,0,1,2024-11-17,
1330,4188262040555284,BISHAKHA NADKARNI,Debit,Visa,2025-01-11,2030-01-11,Active,75000,1,1,2025-01-11,
1330,4380618374161165,DEVIKA YADAV,Prepaid,Mastercard,2025-12-15,2030-12-15,Active,75000,0,1,2025-12-15,
67,4745585254142069,JASON BUCH,Debit,RuPay,2021-12-06,2026-12-06,Active,25000,0,1,2021-12-06,
162,4435240566108789,DAKSH KANT,Debit,Visa,2021-02-15,2025-02-15,Expired,150000,1,1,2021-02-15,Card Expired
378,4015214351242281,SUDIKSHA GARG,Credit,Mastercard,2023-03-05,2026-03-05,Expired,200000,0,1,2023-03-05,Card Expired
613,4485759470803370,XAVIER VORA,Debit,Visa,2025-08-14,2030-08-14,Active,200000,0,0,2025-08-14,
748,4751414566712528,VASUDHA ZACHARIAH,Debit,Mastercard,2025-02-01,2030-02-01,Active,200000,1,1,2025-02-01,
557,4745799658269516,VARSHA KOTA,Debit,RuPay,2021-12-11,2024-12-11,Expired,150000,0,0,2021-12-11,Card Expired
723,4586372741408803,DAKSH DOSHI,Debit,Visa,2021-09-07,2026-09-07,Active,75000,0,1,2021-09-07,
248,4392878461075227,BHAVIKA SARAF,Debit,RuPay,2026-02-08,2031-02-08,Active,75000,1,1,2026-02-08,
391,4280319052634628,LIBNI KULKARNI,Debit,RuPay,2022-06-07,2027-06-07,Active,25000,1,1,2022-06-07,
296,4277318071293216,UDANT SHUKLA,Debit,Visa,2023-06-17,2028-06-17,Active,100000,1,1,2023-06-17,
745,4975301813371288,WAKEETA MAJUMDAR,Debit,Mastercard,2026-03-24,2031-03-24,Active,100000,0,1,2026-03-24,
122,4721839282796205,ISAAC SEHGAL,Debit,Mastercard,2023-11-21,2028-11-21,Active,150000,1,1,2023-11-21,
1237,4196336514933784,CHAKRIKA MODI,Debit,Visa,2024-06-18,2027-06-18,Active,150000,1,1,2024-06-18,
280,4114758846527200,IDIKA JAIN,Virtual,RuPay,2023-01-29,2027-01-29,Expired,10000,0,1,2023-01-29,Card Expired
776,4620127793741828,ATHARV DADA,Debit,Mastercard,2022-04-14,2025-04-14,Expired,150000,1,1,2022-04-14,Card Expired
370,4766880875295395,DAKSHESH SHARMA,Debit,Mastercard,2023-02-25,2026-02-25,Expired,150000,0,1,2023-02-25,Card Expired
347,4480951818523714,PRATYUSH CHOWDHURY,Debit,RuPay,2021-01-12,2025-01-12,Expired,75000,0,1,2021-01-12,Card Expired
171,4861524376178085,ZARNA ACHARYA,Credit,Visa,2024-04-22,2027-04-22,Active,100000,0,1,2024-04-22,
1276,4192220560927206,CHAVVI GULATI,Virtual,Mastercard,2024-10-30,2029-10-30,Hotlisted,25000,0,1,2024-10-30,Fraud Suspected
418,4867719454484089,ANVI TIWARI,Prepaid,Visa,2022-04-13,2027-04-13,Active,25000,0,0,2022-04-13,
636,4751231491926592,ZEHAAN SUBRAMANIAN,Debit,RuPay,2025-04-20,2029-04-20,Active,150000,1,1,2025-04-20,
512,4489926963123998,KARAN WALI,Debit,RuPay,2024-05-01,2028-05-01,Active,150000,0,0,2024-05-01,
998,4463948448526370,AVNI DUBE,Debit,Mastercard,2022-02-01,2025-02-01,Expired,50000,0,0,2022-02-01,Card Expired
1028,4891623093589563,ARJUN SARRAF,Credit,Visa,2021-04-13,2025-04-13,Expired,50000,0,1,2021-04-13,Card Expired
27,4431721196035270,KAMYA RADHAKRISHNAN,Debit,RuPay,2022-04-11,2027-04-11,Active,200000,0,0,2022-04-11,
414,4949793241785160,CHASMUM HAYER,Debit,Visa,2022-01-13,2026-01-13,Expired,150000,1,1,2022-01-13,Card Expired
1306,4758147135159566,LAKSH BALASUBRAMANIAN,Virtual,Visa,2024-02-20,2028-02-20,Active,100000,1,1,2024-02-20,
1095,4306797624613792,YADAVI MANGAL,Credit,RuPay,2026-05-21,2029-05-21,Active,200000,0,1,2026-05-21,
402,4978993459241203,ALKA PAI,Credit,Visa,2024-03-21,2028-03-21,Active,500000,0,0,2024-03-21,
506,4809413630893364,MOHINI DESHMUKH,Debit,RuPay,2023-05-07,2026-05-07,Expired,150000,0,0,2023-05-07,Card Expired
952,4413500994109695,SAI PAREKH,Prepaid,Visa,2026-04-06,2030-04-06,Active,10000,0,0,2026-04-06,
1070,4600181289896683,RAJESHRI SOOD,Debit,RuPay,2022-07-13,2026-07-13,Expired,75000,0,1,2022-07-13,Card Expired
542,4168335931395167,WRIDDHISH HANDA,Debit,Mastercard,2022-10-07,2026-10-07,Active,150000,1,1,2022-10-07,
688,4071280177908954,AAYUSH CHANDRAN,Debit,Visa,2025-04-18,2028-04-18,Active,25000,0,1,2025-04-18,
1296,4127702743315102,ORINDER PARIKH,Debit,Visa,2021-11-16,2025-11-16,Expired,75000,0,1,2021-11-16,Card Expired
1485,4166386133124680,TANVEER KUMER,Debit,Visa,2024-08-09,2027-08-09,Active,75000,0,1,2024-08-09,
507,4309175976535501,SAMUEL BATH,Virtual,Visa,2024-03-22,2029-03-22,Active,25000,1,0,2024-03-22,
775,4202533665919722,NOAH BAIL,Debit,Visa,2021-02-14,2024-02-14,Expired,75000,0,1,2021-02-14,Card Expired
1464,4460824795884044,LAVANYA BIR,Credit,RuPay,2025-07-20,2028-07-20,Active,100000,0,0,2025-07-20,
1423,4873812621997112,MEERA SETTY,Debit,Visa,2026-02-07,2031-02-07,Active,75000,0,1,2026-02-07,
529,4518726168438853,IKSHITA SOMAN,Debit,Visa,2024-08-03,2028-08-03,Active,75000,0,1,2024-08-03,
1450,4034655988634968,HARRISON CHOUDHRY,Credit,Mastercard,2022-05-20,2026-05-20,Expired,100000,0,1,2022-05-20,Card Expired
134,4093166863163200,AADI MAHAJAN,Debit,Mastercard,2023-12-20,2028-12-20,Hotlisted,75000,1,1,2023-12-20,Card Reported Lost
1499,4028625331032704,QARIN MASTER,Debit,RuPay,2026-04-27,2029-04-27,Active,75000,0,1,2026-04-27,
1203,4587718325917841,DAKSH PATIL,Debit,Visa,2022-10-22,2025-10-22,Expired,200000,0,1,2022-10-22,Card Expired
1266,4522428993611009,SHIVANSH DE,Virtual,Mastercard,2024-01-05,2029-01-05,Active,25000,0,1,2024-01-05,
765,4504718211001283,ADVIKA NARULA,Credit,Mastercard,2025-12-20,2028-12-20,Active,100000,0,1,2025-12-20,
1143,4098153873636812,FARIQ WADHWA,Credit,Visa,2021-04-08,2026-04-08,Expired,500000,0,1,2021-04-08,Card Expired
551,4571860671429779,ZILMIL SRINIVASAN,Debit,Mastercard,2021-08-12,2025-08-12,Expired,25000,0,1,2021-08-12,Card Expired
1494,4587152613308358,SUDIKSHA GUPTA,Credit,Visa,2022-10-22,2027-10-22,Active,150000,0,1,2022-10-22,
793,4673585114109553,RAAGINI THAKER,Debit,Visa,2024-11-22,2028-11-22,Active,50000,0,1,2024-11-22,
209,4103987316774604,CHARAN BAKSHI,Debit,Mastercard,2024-02-11,2029-02-11,Active,200000,1,1,2024-02-11,
781,4131419113497835,ADWETA YOHANNAN,Debit,Mastercard,2026-04-26,2031-04-26,Active,200000,0,0,2026-04-26,
1447,4487934570817607,THOMAS SHARAF,Debit,RuPay,2021-11-21,2025-11-21,Expired,150000,0,1,2021-11-21,Card Expired
588,4136791648409358,FARHAN REGE,Prepaid,RuPay,2024-06-29,2027-06-29,Active,50000,0,1,2024-06-29,
488,4009863215645986,VANYA SHROFF,Debit,Visa,2022-02-21,2025-02-21,Expired,100000,0,1,2022-02-21,Card Expired
1055,4184346651969808,YOCHANA NAGY,Credit,Mastercard,2021-12-22,2026-12-22,Active,200000,0,1,2021-12-22,
779,4868223552791961,WRIDDHISH LATA,Debit,Visa,2022-01-03,2025-01-03,Expired,150000,0,1,2022-01-03,Card Expired
47,4844180298485331,ZANSI NANDA,Debit,Visa,2022-12-05,2026-12-05,Active,200000,0,1,2022-12-05,
1254,4931534171539535,JACOB PRADHAN,Debit,RuPay,2022-06-29,2027-06-29,Active,100000,1,1,2022-06-29,
1144,4619811326696681,RIA ANDRA,Credit,Visa,2023-12-30,2028-12-30,Active,500000,0,1,2023-12-30,
790,4854705881761612,DEVIKA VYAS,Debit,Visa,2023-02-14,2026-02-14,Expired,25000,1,1,2023-02-14,Card Expired
890,4801179984392078,AARINI PERI,Debit,RuPay,2025-05-13,2029-05-13,Active,150000,0,1,2025-05-13,
585,4761344142749909,OMAJA KAUR,Debit,Visa,2021-07-14,2025-07-14,Expired,50000,0,1,2021-07-14,Card Expired
854,4163838939841281,SAMAR DUGAR,Debit,Mastercard,2025-10-17,2029-10-17,Active,150000,1,1,2025-10-17,
1440,4161366230312878,BAHADURJIT GOSWAMI,Debit,RuPay,2021-12-21,2024-12-21,Expired,150000,0,1,2021-12-21,Card Expired
567,4532436521226051,AARUSH SHANKER,Virtual,Visa,2022-05-13,2027-05-13,Expired,25000,1,1,2022-05-13,Card Expired
594,4495442740236194,MITALI KAPADIA,Debit,Mastercard,2023-04-25,2026-04-25,Expired,100000,0,1,2023-04-25,Card Expired
663,4285589310047627,JACKSON KEER,Credit,Mastercard,2024-08-26,2027-08-26,Inactive,150000,1,1,2024-08-26,
504,4512323050699625,FARIS DESAI,Debit,Mastercard,2023-10-28,2027-10-28,Active,100000,0,0,2023-10-28,
1111,4436802488558191,BALVAN SAXENA,Credit,RuPay,2024-09-12,2029-09-12,Active,50000,0,1,2024-09-12,
926,4860731385856123,VEDHIKA DUGAR,Debit,RuPay,2022-09-20,2025-09-20,Expired,150000,0,1,2022-09-20,Card Expired
1246,4126771717783752,ANJALI DEWAN,Debit,Mastercard,2026-06-29,2030-06-29,Active,50000,0,0,2026-06-29,
1326,4258996529208385,NIDHI MOHANTY,Prepaid,Mastercard,2026-01-27,2030-01-27,Active,10000,0,1,2026-01-27,
1191,4478777939262432,HIRAL SACHDEVA,Debit,Mastercard,2025-01-16,2030-01-16,Active,100000,0,1,2025-01-16,
536,4389629540161893,ZAID KANT,Credit,RuPay,2025-10-04,2029-10-04,Active,200000,0,1,2025-10-04,
465,4465238537359679,NATHANIEL MALLICK,Debit,RuPay,2021-01-23,2025-01-23,Expired,150000,0,1,2021-01-23,Card Expired
904,4658249528864206,JALSA TAK,Debit,Visa,2025-10-08,2028-10-08,Active,50000,0,1,2025-10-08,
1113,4906340893307487,BIMALA KARAN,Credit,Mastercard,2024-07-02,2027-07-02,Active,150000,0,1,2024-07-02,
815,4384588745331524,BIMALA MEMON,Debit,Mastercard,2023-05-29,2027-05-29,Active,75000,0,1,2023-05-29,
1010,4861803813141889,ANUSHA AHUJA,Debit,Visa,2022-02-04,2027-02-04,Active,200000,0,1,2022-02-04,
1129,4178725429741894,ARUNIMA ARYA,Debit,Mastercard,2023-09-22,2028-09-22,Active,50000,0,1,2023-09-22,
1481,4728296033811790,GIRISH PRABHAKAR,Prepaid,RuPay,2023-11-08,2028-11-08,Active,75000,0,1,2023-11-08,
590,4615879040683364,NILIMA PATLA,Debit,Mastercard,2023-07-13,2028-07-13,Active,75000,0,1,2023-07-13,
1045,4062749591051984,AASHI RANDHAWA,Debit,Mastercard,2023-12-21,2026-12-21,Hotlisted,75000,0,1,2023-12-21,Fraud Suspected
1280,4296301162888021,ETHAN WALLA,Debit,Mastercard,2024-03-08,2028-03-08,Active,50000,1,1,2024-03-08,
470,4067436025717298,ZAID LATA,Debit,Mastercard,2025-03-24,2029-03-24,Active,75000,0,1,2025-03-24,
236,4554207868467536,RAYAAN JOSHI,Credit,RuPay,2024-12-01,2028-12-01,Active,50000,0,1,2024-12-01,
279,4909388311743442,PATRICK ARYA,Credit,Mastercard,2022-01-29,2025-01-29,Expired,200000,0,1,2022-01-29,Card Expired
152,4249207658334103,ANYA D’ALIA,Debit,Mastercard,2022-01-31,2027-01-31,Hotlisted,25000,0,1,2022-01-31,Security Risk
966,4580650233348534,OVIYA NAZARETH,Debit,Mastercard,2021-04-18,2026-04-18,Expired,100000,0,1,2021-04-18,Card Expired
1006,4694215332768934,AARINI HAYRE,Debit,RuPay,2023-06-19,2026-06-19,Expired,150000,1,1,2023-06-19,Card Expired
702,4622295185461905,JANANI SHENOY,Debit,Visa,2022-04-22,2025-04-22,Expired,100000,0,0,2022-04-22,Card Expired
890,4814114681824881,WAIDA NARAYAN,Debit,RuPay,2022-08-22,2026-08-22,Active,75000,0,1,2022-08-22,
311,4249574241828544,ORINDER BAL,Debit,Visa,2022-01-20,2025-01-20,Expired,25000,0,1,2022-01-20,Card Expired
1018,4434510198461349,HARITA VIG,Virtual,RuPay,2023-11-16,2028-11-16,Active,50000,0,1,2023-11-16,
645,4313234447369855,NAKUL GABA,Credit,Visa,2021-09-01,2026-09-01,Active,50000,0,1,2021-09-01,
228,4722708574279809,JACOB GADE,Debit,Visa,2025-01-08,2030-01-08,Active,25000,0,1,2025-01-08,
1183,4876745228705073,XALAK DUTT,Debit,RuPay,2025-12-26,2030-12-26,Active,50000,0,1,2025-12-26,
774,4947961219039533,YATIN SINGH,Debit,RuPay,2024-12-22,2028-12-22,Inactive,75000,0,1,2024-12-22,
1051,4394729689033426,FARIS PALLA,Virtual,Mastercard,2024-02-02,2028-02-02,Active,10000,1,1,2024-02-02,
1206,4686273884794169,HIRAL YOHANNAN,Debit,Mastercard,2023-02-24,2027-02-24,Active,25000,0,1,2023-02-24,
470,4274579146866413,ROBERT NAIK,Credit,RuPay,2021-05-04,2024-05-04,Expired,150000,1,1,2021-05-04,Card Expired
505,4197830783258925,BHAVANI PARMAR,Debit,Visa,2025-12-26,2028-12-26,Active,50000,1,1,2025-12-26,
1308,4283701897869145,CHAMPAK KUMAR,Debit,RuPay,2021-10-28,2025-10-28,Expired,150000,0,1,2021-10-28,Card Expired
1029,4229837834618369,CHARVI NAYAK,Debit,RuPay,2023-09-26,2028-09-26,Active,75000,0,1,2023-09-26,
1379,4230189025717594,ATHARV DIVAN,Debit,RuPay,2024-01-14,2027-01-14,Inactive,50000,0,0,2024-01-14,
813,4565649774872899,GOPAL BAVA,Debit,Visa,2025-10-02,2028-10-02,Blocked,100000,0,1,2025-10-02,Customer Request
520,4485814870387110,AAHANA SAHNI,Debit,Visa,2024-04-19,2029-04-19,Active,200000,0,1,2024-04-19,
335,4176845846119199,VEDANT OOMMEN,Debit,Mastercard,2024-11-17,2028-11-17,Active,75000,0,1,2024-11-17,
1118,4769177755363226,ORINDER VAIDYA,Debit,RuPay,2024-02-26,2027-02-26,Active,25000,1,1,2024-02-26,
1141,4488237255395083,MATTHEW MOHANTY,Credit,Visa,2023-05-23,2028-05-23,Active,100000,0,1,2023-05-23,
1136,4964100493236024,TURVI DATE,Debit,RuPay,2022-02-24,2027-02-24,Active,200000,0,1,2022-02-24,
819,4427725287442469,URVI PARMER,Debit,Visa,2024-11-04,2028-11-04,Active,150000,0,1,2024-11-04,
405,4606616170314216,AZAAN MALHOTRA,Debit,Mastercard,2025-11-02,2028-11-02,Active,25000,0,1,2025-11-02,
1386,4181586719109311,ZILMIL RATTA,Virtual,RuPay,2022-02-24,2027-02-24,Active,10000,1,0,2022-02-24,
869,4335895687518807,KRISHA CHANA,Debit,RuPay,2026-01-03,2029-01-03,Active,100000,0,1,2026-01-03,
358,4962485172349309,EKALINGA MALHOTRA,Debit,Mastercard,2026-04-05,2031-04-05,Blocked,200000,0,0,2026-04-05,Customer Request
836,4429368373357924,ORINDER RADHAKRISHNAN,Debit,Visa,2024-07-16,2027-07-16,Active,200000,1,1,2024-07-16,
1089,4096709025447649,SAANVI SEM,Debit,RuPay,2025-10-27,2029-10-27,Active,100000,1,1,2025-10-27,
1370,4645694918625265,NEHA OAK,Credit,RuPay,2025-09-30,2028-09-30,Expired,300000,0,1,2025-09-30,Card Expired
137,4064465746121448,UNNI PAI,Debit,Visa,2024-11-13,2029-11-13,Active,100000,0,1,2024-11-13,
559,4843631071503628,BINA SAHA,Credit,Visa,2021-10-30,2025-10-30,Expired,50000,0,1,2021-10-30,Card Expired
44,4818293395348025,WIDISHA NIGAM,Prepaid,RuPay,2022-01-03,2027-01-03,Active,25000,0,1,2022-01-03,
696,4419668820386358,ANTHONY SUNDER,Debit,Visa,2022-02-03,2025-02-03,Expired,100000,0,1,2022-02-03,Card Expired
1441,4364183016599566,UNNI BHAGAT,Debit,RuPay,2021-07-03,2025-07-03,Expired,50000,0,1,2021-07-03,Card Expired
517,4699818145413096,BAGHYAWATI HANS,Debit,RuPay,2023-09-10,2027-09-10,Blocked,150000,0,1,2023-09-10,Customer Request
997,4782249138722434,MOHINI PANCHAL,Debit,Mastercard,2022-08-10,2027-08-10,Active,100000,1,1,2022-08-10,
890,4176542227081146,BALJIWAN SACHDEVA,Debit,Mastercard,2023-08-26,2026-08-26,Active,200000,0,0,2023-08-26,
1013,4699852291789479,GAUTAMI PAU,Credit,Visa,2026-05-19,2031-05-19,Active,150000,0,1,2026-05-19,
1253,4720587566968102,CHANCHAL GROVER,Debit,Visa,2025-02-09,2029-02-09,Active,75000,0,1,2025-02-09,
816,4646864674936433,JATIN AHUJA,Debit,Visa,2023-07-26,2027-07-26,Active,150000,0,1,2023-07-26,
213,4350746922297366,DAMINI DUA,Debit,Visa,2023-02-23,2027-02-23,Inactive,150000,0,1,2023-02-23,
1137,4940536458365953,VASATIKA RADHAKRISHNAN,Debit,RuPay,2024-03-14,2027-03-14,Active,50000,0,1,2024-03-14,
741,4994657836116478,SAUMYA MISHRA,Debit,Visa,2024-08-19,2029-08-19,Active,25000,1,1,2024-08-19,
675,4666276693158900,YASHVI KOTHARI,Virtual,Mastercard,2023-03-21,2028-03-21,Active,100000,0,1,2023-03-21,
1469,4786352836344840,NEHA MAHARAJ,Debit,RuPay,2021-01-02,2025-01-02,Expired,25000,0,0,2021-01-02,Card Expired
815,4616771651947494,GEETIKA KAR,Prepaid,RuPay,2022-12-13,2027-12-13,Active,10000,0,1,2022-12-13,
220,4172273875581281,CHANAKYA KAMDAR,Debit,RuPay,2024-02-19,2028-02-19,Active,25000,0,1,2024-02-19,
630,4088254096657667,AYUSHMAN KRISHNAMURTHY,Debit,Mastercard,2024-07-11,2028-07-11,Active,25000,0,1,2024-07-11,
1276,4104165061332719,EKIYA KHURANA,Debit,Mastercard,2022-09-26,2027-09-26,Active,25000,0,0,2022-09-26,
100,4140325564991707,GUNEET LALA,Credit,Visa,2022-03-20,2025-03-20,Expired,200000,0,1,2022-03-20,Card Expired
629,4334129164295318,IRA SABHARWAL,Debit,RuPay,2022-01-23,2027-01-23,Active,50000,0,1,2022-01-23,
860,4953360619346592,OSCAR DASH,Debit,RuPay,2025-08-18,2028-08-18,Active,75000,0,1,2025-08-18,
33,4174179335405286,ANUSHA KOTHARI,Debit,Visa,2023-08-19,2027-08-19,Active,25000,0,1,2023-08-19,
753,4097792570987862,GANGA PRADHAN,Debit,Visa,2024-06-05,2029-06-05,Active,50000,1,0,2024-06-05,
750,4443449982316447,MITALI KARA,Debit,RuPay,2023-04-29,2028-04-29,Active,50000,1,1,2023-04-29,
744,4898523170228637,AARUSH REDDY,Debit,RuPay,2024-10-08,2027-10-08,Active,200000,0,0,2024-10-08,
987,4954463153165507,IRA GOLLA,Debit,Mastercard,2023-02-19,2027-02-19,Active,75000,0,1,2023-02-19,
630,4489910053044535,GEORGE BHAKTA,Debit,Visa,2022-12-22,2027-12-22,Active,150000,1,1,2022-12-22,
1433,4285217121593516,BENJAMIN BHANDARI,Prepaid,RuPay,2022-09-02,2026-09-02,Active,10000,0,0,2022-09-02,
247,4062466481054684,UPADHRITI BRAHMBHATT,Credit,Mastercard,2024-12-31,2028-12-31,Active,500000,1,1,2024-12-31,
734,4361524496604154,SARA KRISHNA,Debit,RuPay,2024-10-22,2029-10-22,Active,100000,0,1,2024-10-22,
509,4485680736586948,GAVIN DASH,Debit,RuPay,2021-03-31,2024-03-31,Expired,25000,0,1,2021-03-31,Card Expired
1464,4041767016236236,NEELIMA MAHAJAN,Debit,Mastercard,2023-04-22,2028-04-22,Expired,75000,0,1,2023-04-22,Card Expired
