employee_code,branch_id,employee_name,gender,dob,designation,department,mobile_number,email,hire_date,salary,emp_house_no,emp_street,emp_area,emp_city,emp_state,emp_pincode,country,employee_status,created_at,manager_id,exit_date
EMP0042,14,Lakshit Khalsa,Female,1996-05-06,Assistant Branch Manager,Branch Operations,7841635002,lakshit.khalsa42@vmbank.com,2017-01-09,62562.78,374,Dugar Marg,Ville,Anand,Maharashtra,693130,India,Active,2017-01-09,,
EMP0043,7,Shivansh Vohra,Female,2002-05-17,Operations Executive,Operations,9376544905,shivansh.vohra43@vmbank.com,2025-08-04,28981.41,857,Gokhale Chowk,Ville,Burhanpur,Madhya Pradesh,972833,India,Active,2025-08-04,,
EMP0044,18,Arya Garde,Male,1996-03-14,Customer Service Executive,Customer Service,8987061439,arya.garde44@vmbank.com,2020-01-24,25327.86,805,Devi Path,Ville,Bhilai,Nagaland,920924,India,Active,2020-01-24,,
EMP0045,7,Wridesh Sagar,Female,1969-07-18,Cashier,Cash Operations,7513548290,wridesh.sagar45@vmbank.com,2024-06-07,26576.26,773,Bhalla Path,Ville,South Dumdum,Odisha,017100,India,Active,2024-06-07,,
EMP0046,2,Bhavika Manda,Male,2001-06-22,Operations Executive,Operations,7099845066,bhavika.manda46@vmbank.com,2015-12-27,41216.99,529,Bains,Ville,Sangli-Miraj & Kupwad,Chhattisgarh,992602,India,Active,2015-12-27,,
EMP0047,6,Faras Keer,Male,1998-03-10,Cashier,Cash Operations,7832646645,faras.keer47@vmbank.com,2023-05-13,43675.66,232,Nadig Nagar,Ville,Motihari,Nagaland,379825,India,Active,2023-05-13,,
EMP0048,2,Ansh Choudhary,Female,1966-08-18,Customer Service Executive,Customer Service,8243639633,ansh.choudhary48@vmbank.com,2019-10-03,34586.88,845,Biswas Zila,Ville,Guntur,Chhattisgarh,945033,India,Active,2019-10-03,,
EMP0049,8,Dev Anand,Female,1982-11-19,Operations Executive,Operations,9518737676,dev.anand49@vmbank.com,2016-01-29,27823.99,586,Borde Path,Ville,Darbhanga,Rajasthan,569651,India,Active,2016-01-29,,
EMP0050,8,Orinder Loyal,Female,1982-01-05,Relationship Manager,Sales,7054793206,orinder.loyal50@vmbank.com,2020-05-15,44613.67,846,Tank Zila,Ville,Madanapalle,Meghalaya,785937,India,Active,2020-05-15,,
EMP0051,5,Ira Balasubramanian,Female,1970-07-03,Relationship Manager,Sales,7355324181,ira.balasubramanian51@vmbank.com,2020-01-09,41766.94,381,Rama Road,Ville,Rourkela,West Bengal,742330,India,Resigned,2020-01-09,,2024-01-23
EMP0052,17,Baghyawati Issac,Female,1978-07-30,Branch Manager,Branch Operations,8251256998,baghyawati.issac52@vmbank.com,2023-10-22,83069.08,266,Krish Street,Ville,Maheshtala,Nagaland,030558,India,Active,2023-10-22,,
EMP0053,5,Advik Sharaf,Female,1991-01-25,Customer Service Executive,Customer Service,9698849670,advik.sharaf53@vmbank.com,2016-08-22,36087.05,835,Kaul Street,Ville,Raebareli,Odisha,922113,India,Active,2016-08-22,,
EMP0054,18,Rachana Radhakrishnan,Male,1990-02-23,Customer Service Executive,Customer Service,8876357992,rachana.radhakrishnan54@vmbank.com,2015-03-01,36053.06,244,Chaudhry Path,Ville,Jamalpur,Arunachal Pradesh,403235,India,Active,2015-03-01,,
EMP0055,19,Wriddhish Mitra,Male,1986-01-05,Relationship Manager,Sales,9234519895,wriddhish.mitra55@vmbank.com,2020-12-25,37517.75,894,Ramanathan Marg,Ville,Raebareli,Nagaland,413366,India,Active,2020-12-25,,
EMP0056,4,Dayita Chaudhry,Female,1998-10-15,Operations Executive,Operations,9134377239,dayita.chaudhry56@vmbank.com,2018-04-21,25780.3,938,Dutt Road,Ville,Jaunpur,Karnataka,696373,India,Active,2018-04-21,,
EMP0057,20,Finn Jain,Female,1996-07-22,HR Executive,Human Resources,8651517591,finn.jain57@vmbank.com,2022-08-07,37071.05,85,Dada Chowk,Ville,Eluru,Uttarakhand,785848,India,Active,2022-08-07,,
EMP0058,7,Vaishnavi Ramesh,Female,1995-01-27,Cashier,Cash Operations,7326540283,vaishnavi.ramesh58@vmbank.com,2023-01-01,27686.67,641,Padmanabhan Path,Ville,Surat,Andhra Pradesh,634028,India,Active,2023-01-01,,
EMP0059,6,Sudiksha Joshi,Male,1977-03-16,HR Executive,Human Resources,8599285260,sudiksha.joshi59@vmbank.com,2018-09-16,42444.74,272,Chauhan Street,Ville,Bhavnagar,Haryana,639432,India,Active,2018-09-16,,
EMP0060,5,Yoshita Gola,Female,1987-08-29,HR Executive,Human Resources,7853446813,yoshita.gola60@vmbank.com,2018-10-08,40400.94,284,Bakshi Marg,Ville,Siwan,Uttar Pradesh,829140,India,Inactive,2018-10-08,,
EMP0061,2,Dayita Iyengar,Female,1995-07-28,Operations Executive,Operations,8186830581,dayita.iyengar61@vmbank.com,2022-08-02,40158.11,278,Narain Street,Ville,Tezpur,Assam,077863,India,Active,2022-08-02,,
EMP0062,5,Aayush Nigam,Male,1999-10-13,Customer Service Executive,Customer Service,9961952707,aayush.nigam62@vmbank.com,2022-11-16,22716.92,626,Bajwa Street,Ville,Nellore,Himachal Pradesh,845071,India,Active,2022-11-16,,
EMP0063,14,Chasmum Thakur,Female,1993-03-31,Relationship Manager,Sales,7096075087,chasmum.thakur63@vmbank.com,2025-11-04,41003.36,506,Batra Circle,Ville,Gangtok,Manipur,836448,India,Active,2025-11-04,,
EMP0064,12,Pallavi Sami,Male,1974-06-15,Customer Service Executive,Customer Service,9283327965,pallavi.sami64@vmbank.com,2024-02-02,38423.17,808,Rajan Circle,Ville,Navi Mumbai,Assam,825359,India,Active,2024-02-02,,
EMP0065,13,Neha Gill,Female,1976-08-16,Relationship Manager,Sales,8362486160,neha.gill65@vmbank.com,2015-01-06,35041.7,403,Palla Street,Ville,Kanpur,Maharashtra,337672,India,Active,2015-01-06,,
EMP0066,11,Ati Bir,Female,1984-07-16,Customer Service Executive,Customer Service,7026239291,ati.bir66@vmbank.com,2018-10-30,34084.63,56,Soni Road,Ville,Siliguri,Arunachal Pradesh,065424,India,Active,2018-10-30,,
EMP0067,4,Xavier Buch,Female,2000-06-11,Customer Service Executive,Customer Service,7928400745,xavier.buch67@vmbank.com,2019-08-04,36849.18,975,Doshi Chowk,Ville,Parbhani,Manipur,741999,India,Active,2019-08-04,,
EMP0068,7,Aarini Vora,Female,1980-12-16,Cashier,Cash Operations,9594242213,aarini.vora68@vmbank.com,2015-11-18,33219.03,219,Kala,Ville,Dibrugarh,Tripura,276367,India,Active,2015-11-18,,
EMP0069,1,Diya Nadkarni,Male,1972-08-09,Customer Service Executive,Customer Service,8164896298,diya.nadkarni69@vmbank.com,2025-11-20,24527.22,782,Panchal Path,Ville,Chittoor,Bihar,525127,India,Active,2025-11-20,,
EMP0070,10,Bhavya Soman,Male,1967-11-28,Cashier,Cash Operations,9374347641,bhavya.soman70@vmbank.com,2015-09-22,25330.34,450,Varghese Chowk,Ville,Aurangabad,Rajasthan,409233,India,Active,2015-09-22,,
EMP0071,13,Devansh Kanda,Female,1992-08-26,Customer Service Executive,Customer Service,9670407127,devansh.kanda71@vmbank.com,2018-05-31,23829.31,111,Mall Nagar,Ville,Raurkela Industrial Township,Tripura,703918,India,Active,2018-05-31,,
EMP0072,3,Chaitaly Balan,Male,1971-02-09,Customer Service Executive,Customer Service,8144446566,chaitaly.balan72@vmbank.com,2017-12-03,25798.66,970,Wadhwa Nagar,Ville,Anand,Nagaland,834919,India,Active,2017-12-03,,
EMP0073,13,Wahab Lal,Male,1985-11-05,Customer Service Executive,Customer Service,7411743280,wahab.lal73@vmbank.com,2019-10-13,34999.77,17,Bhatnagar Road,Ville,Nagercoil,Bihar,090503,India,Active,2019-10-13,,
EMP0074,7,Gayathri Loyal,Male,1992-04-05,Relationship Manager,Sales,7039219494,gayathri.loyal74@vmbank.com,2017-03-23,62106.32,483,Bumb Road,Ville,Bettiah,Andhra Pradesh,300589,India,Active,2017-03-23,,
EMP0075,18,Jairaj Khanna,Female,1972-01-17,Customer Service Executive,Customer Service,8944910268,jairaj.khanna75@vmbank.com,2020-02-19,26321.43,655,Talwar Street,Ville,Raurkela Industrial Township,Uttarakhand,285881,India,Active,2020-02-19,,
EMP0076,9,Logan Ramesh,Male,1974-07-23,IT Executive,IT,7056891192,logan.ramesh76@vmbank.com,2015-10-20,56270.42,821,Zachariah Path,Ville,Ozhukarai,Andhra Pradesh,699323,India,Active,2015-10-20,,
EMP0077,1,Utkarsh Bera,Male,1987-07-13,Loan Officer,Loans,8577617510,utkarsh.bera77@vmbank.com,2019-07-09,43492.18,199,Vala Road,Ville,Saharanpur,Manipur,177764,India,Active,2019-07-09,,
EMP0078,16,Janani Korpal,Male,1966-02-24,Operations Executive,Operations,7345664782,janani.korpal78@vmbank.com,2023-01-25,44167.59,226,Chaudhuri Street,Ville,Jalandhar,Jharkhand,532336,India,Active,2023-01-25,,
EMP0079,11,Krisha Nair,Male,1995-03-30,Loan Officer,Loans,8823189115,krisha.nair79@vmbank.com,2015-01-30,53427.58,92,Chowdhury Ganj,Ville,Gorakhpur,Manipur,932962,India,Active,2015-01-30,,
EMP0080,17,Laban Sachdev,Female,1987-03-15,IT Executive,IT,9198250283,laban.sachdev80@vmbank.com,2025-02-25,58765.42,846,Master Nagar,Ville,Anand,West Bengal,114798,India,Active,2025-02-25,,
EMP0081,14,William Varghese,Male,1983-04-25,Customer Service Executive,Customer Service,7240387925,william.varghese81@vmbank.com,2023-05-22,38716.0,772,Bhattacharyya Nagar,Ville,Gandhinagar,Tamil Nadu,631720,India,Active,2023-05-22,,
EMP0082,12,Jyoti Palan,Female,1970-01-17,Cashier,Cash Operations,8782343567,jyoti.palan82@vmbank.com,2019-04-05,38446.42,322,Thakur Marg,Ville,Begusarai,Haryana,036659,India,Active,2019-04-05,,
EMP0083,15,Hema Keer,Female,1969-12-29,Relationship Manager,Sales,7533025830,hema.keer83@vmbank.com,2022-01-29,61271.04,521,Chada Road,Ville,Hyderabad,Tripura,064731,India,Active,2022-01-29,,
EMP0084,7,Reva Tella,Female,1976-10-26,Relationship Manager,Sales,9817003049,reva.tella84@vmbank.com,2021-09-24,64465.18,632,Cherian Nagar,Ville,Tezpur,West Bengal,272105,India,Active,2021-09-24,,
EMP0085,4,Zaitra Doctor,Male,1992-12-14,Branch Manager,Branch Operations,8379273108,zaitra.doctor85@vmbank.com,2017-09-26,110272.31,553,Parekh Chowk,Ville,Miryalaguda,Chhattisgarh,914128,India,Active,2017-09-26,,
EMP0086,17,Chavvi Kibe,Male,2000-11-09,Customer Service Executive,Customer Service,9810455281,chavvi.kibe86@vmbank.com,2025-11-28,32857.12,962,Bhagat,Ville,Srikakulam,Sikkim,636767,India,Active,2025-11-28,,
EMP0087,8,Hemal Shroff,Female,1973-02-25,Assistant Branch Manager,Branch Operations,8757364538,hemal.shroff87@vmbank.com,2015-02-24,68196.83,41,Shenoy Chowk,Ville,Mahbubnagar,Goa,401439,India,Suspended,2015-02-24,,
EMP0088,20,Ranbir Chanda,Male,1968-10-19,Customer Service Executive,Customer Service,9852199949,ranbir.chanda88@vmbank.com,2015-04-11,23895.35,884,Hayre Path,Ville,Ramgarh,Maharashtra,643565,India,Active,2015-04-11,,
EMP0089,18,Shivansh Maharaj,Female,1982-09-22,Relationship Manager,Sales,9176822894,shivansh.maharaj89@vmbank.com,2019-09-17,48173.1,682,Murthy Ganj,Ville,Tirupati,Arunachal Pradesh,936273,India,Inactive,2019-09-17,,
EMP0090,8,Yochana Sankar,Male,1985-01-05,Relationship Manager,Sales,9126949235,yochana.sankar90@vmbank.com,2023-02-21,56305.68,806,Bedi Road,Ville,Bhagalpur,Haryana,324018,India,Active,2023-02-21,,
EMP0091,18,Abha Kulkarni,Female,2001-09-10,Relationship Manager,Sales,9380687819,abha.kulkarni91@vmbank.com,2023-01-19,38440.45,542,Issac Ganj,Ville,Nanded,Bihar,132588,India,Active,2023-01-19,,
EMP0092,15,David Thaker,Female,1987-11-26,Relationship Manager,Sales,7237539507,david.thaker92@vmbank.com,2022-07-28,60923.61,960,Banik Marg,Ville,Bathinda,Arunachal Pradesh,118386,India,Active,2022-07-28,,
EMP0093,12,Kevin Kalita,Male,2001-01-24,Customer Service Executive,Customer Service,7902566133,kevin.kalita93@vmbank.com,2020-11-15,27013.25,999,Bhatia Ganj,Ville,Jalna,Nagaland,013384,India,Active,2020-11-15,,
EMP0094,3,Tanvi Warrior,Male,1984-07-23,HR Executive,Human Resources,7693388937,tanvi.warrior94@vmbank.com,2017-12-18,36023.78,384,Saraf Circle,Ville,Unnao,Assam,389322,India,Active,2017-12-18,,
EMP0095,18,Benjamin Khatri,Female,1974-04-24,Operations Executive,Operations,8556204182,benjamin.khatri95@vmbank.com,2025-07-30,35043.97,199,Kibe Street,Ville,Raichur,Rajasthan,433197,India,Active,2025-07-30,,
EMP0096,10,Yahvi Walla,Female,1997-01-13,Loan Officer,Loans,8711146565,yahvi.walla96@vmbank.com,2024-10-03,50305.42,864,Purohit Path,Ville,Hapur,Manipur,268607,India,Active,2024-10-03,,
EMP0097,7,Yashodhara Puri,Female,1976-10-30,Assistant Branch Manager,Branch Operations,7930750632,yashodhara.puri97@vmbank.com,2019-06-13,73904.88,981,Bassi Road,Ville,Motihari,Goa,826753,India,Active,2019-06-13,,
EMP0098,15,William Bandi,Male,1997-12-11,Branch Manager,Branch Operations,8111288324,william.bandi98@vmbank.com,2018-03-01,70251.3,799,Reddy Marg,Ville,Akola,Gujarat,723772,India,Active,2018-03-01,,
EMP0099,2,Girish Tandon,Female,1985-02-02,Customer Service Executive,Customer Service,8449748811,girish.tandon99@vmbank.com,2022-10-21,35646.59,824,Pathak,Ville,Kulti,Haryana,920017,India,Active,2022-10-21,,
EMP0100,11,Wakeeta Tata,Female,2002-03-07,Customer Service Executive,Customer Service,7978828642,wakeeta.tata100@vmbank.com,2017-06-25,26430.64,923,Memon Chowk,Ville,Hapur,Tamil Nadu,717894,India,Active,2017-06-25,,
